nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455472928E+04, 1.033924184E+00, 1.742729737E+02, 0.000000000E+00, 2.849114807E+02, 2.999999963E+02, 2.201486002E+05, 2.049630655E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455038509E+04, 1.033885523E+00, 1.742959726E+02, 0.000000000E+00, 2.849074961E+02, 2.999999943E+02, 2.201497419E+05, 2.049601989E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454411220E+04, 1.033830738E+00, 1.743308402E+02, 0.000000000E+00, 2.849014552E+02, 2.999999922E+02, 2.201514738E+05, 2.049558532E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453532484E+04, 1.033753887E+00, 1.743795177E+02, 0.000000000E+00, 2.848930208E+02, 2.999999904E+02, 2.201538929E+05, 2.049497855E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452405338E+04, 1.033655336E+00, 1.744419913E+02, 0.000000000E+00, 2.848821933E+02, 2.999999889E+02, 2.201569993E+05, 2.049419963E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451028017E+04, 1.033534919E+00, 1.745183334E+02, 0.000000000E+00, 2.848689577E+02, 2.999999877E+02, 2.201607972E+05, 2.049324747E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449399791E+04, 1.033392566E+00, 1.746085656E+02, 0.000000000E+00, 2.848533069E+02, 2.999999868E+02, 2.201652887E+05, 2.049212157E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447520214E+04, 1.033228234E+00, 1.747126954E+02, 0.000000000E+00, 2.848352360E+02, 2.999999861E+02, 2.201704751E+05, 2.049082156E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445388803E+04, 1.033041875E+00, 1.748307294E+02, 0.000000000E+00, 2.848147394E+02, 2.999999858E+02, 2.201763580E+05, 2.048934705E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.443005044E+04, 1.032833438E+00, 1.749626743E+02, 0.000000000E+00, 2.847918110E+02, 2.999999857E+02, 2.201829392E+05, 2.048769760E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440368381E+04, 1.032602869E+00, 1.751085368E+02, 0.000000000E+00, 2.847664442E+02, 2.999999858E+02, 2.201902206E+05, 2.048587273E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437478215E+04, 1.032350109E+00, 1.752683242E+02, 0.000000000E+00, 2.847386317E+02, 2.999999861E+02, 2.201982041E+05, 2.048387192E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434333905E+04, 1.032075097E+00, 1.754420437E+02, 0.000000000E+00, 2.847083655E+02, 2.999999866E+02, 2.202068922E+05, 2.048169460E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430934769E+04, 1.031777764E+00, 1.756297025E+02, 0.000000000E+00, 2.846756371E+02, 2.999999873E+02, 2.202162872E+05, 2.047934014E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427280091E+04, 1.031458041E+00, 1.758313074E+02, 0.000000000E+00, 2.846404376E+02, 2.999999881E+02, 2.202263916E+05, 2.047680792E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423369118E+04, 1.031115852E+00, 1.760468648E+02, 0.000000000E+00, 2.846027575E+02, 2.999999891E+02, 2.202372082E+05, 2.047409724E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419201068E+04, 1.030751122E+00, 1.762763805E+02, 0.000000000E+00, 2.845625866E+02, 2.999999902E+02, 2.202487399E+05, 2.047120738E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414775137E+04, 1.030363769E+00, 1.765198591E+02, 0.000000000E+00, 2.845199147E+02, 2.999999914E+02, 2.202609895E+05, 2.046813760E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410090495E+04, 1.029953710E+00, 1.767773044E+02, 0.000000000E+00, 2.844747309E+02, 2.999999927E+02, 2.202739603E+05, 2.046488711E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405146297E+04, 1.029520862E+00, 1.770487187E+02, 0.000000000E+00, 2.844270241E+02, 2.999999940E+02, 2.202876553E+05, 2.046145512E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399941684E+04, 1.029065137E+00, 1.773341027E+02, 0.000000000E+00, 2.843767829E+02, 2.999999955E+02, 2.203020779E+05, 2.045784080E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394475788E+04, 1.028586448E+00, 1.776334556E+02, 0.000000000E+00, 2.843239954E+02, 2.999999969E+02, 2.203172314E+05, 2.045404331E+05
