nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455450329E+04, 1.033922206E+00, 1.742742480E+02, 0.000000000E+00, 2.849112643E+02, 2.201486666E+05, 2.049629098E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455016488E+04, 1.033883598E+00, 1.742972324E+02, 0.000000000E+00, 2.849072846E+02, 2.201498093E+05, 2.049600468E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454389661E+04, 1.033828853E+00, 1.743320888E+02, 0.000000000E+00, 2.849012481E+02, 2.201515425E+05, 2.049557042E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453511334E+04, 1.033752038E+00, 1.743807565E+02, 0.000000000E+00, 2.848928176E+02, 2.201539628E+05, 2.049496394E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452384541E+04, 1.033653518E+00, 1.744432215E+02, 0.000000000E+00, 2.848819935E+02, 2.201570701E+05, 2.049418526E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451007517E+04, 1.033533127E+00, 1.745195562E+02, 0.000000000E+00, 2.848687607E+02, 2.201608689E+05, 2.049323330E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449379536E+04, 1.033390795E+00, 1.746097821E+02, 0.000000000E+00, 2.848531123E+02, 2.201653611E+05, 2.049210757E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447500154E+04, 1.033226480E+00, 1.747139068E+02, 0.000000000E+00, 2.848350432E+02, 2.201705480E+05, 2.049080769E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445368892E+04, 1.033040133E+00, 1.748319366E+02, 0.000000000E+00, 2.848145480E+02, 2.201764314E+05, 2.048933328E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442985238E+04, 1.032831705E+00, 1.749638782E+02, 0.000000000E+00, 2.847916206E+02, 2.201830129E+05, 2.048768390E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440348640E+04, 1.032601142E+00, 1.751097384E+02, 0.000000000E+00, 2.847662543E+02, 2.201902944E+05, 2.048585907E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437458502E+04, 1.032348385E+00, 1.752695242E+02, 0.000000000E+00, 2.847384420E+02, 2.201982780E+05, 2.048385828E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434314185E+04, 1.032073372E+00, 1.754432428E+02, 0.000000000E+00, 2.847081757E+02, 2.202069660E+05, 2.048168094E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430915011E+04, 1.031776036E+00, 1.756309014E+02, 0.000000000E+00, 2.846754469E+02, 2.202163609E+05, 2.047932646E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427260266E+04, 1.031456306E+00, 1.758325068E+02, 0.000000000E+00, 2.846402467E+02, 2.202264651E+05, 2.047679418E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423349200E+04, 1.031114109E+00, 1.760480652E+02, 0.000000000E+00, 2.846025655E+02, 2.202372815E+05, 2.047408343E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419181034E+04, 1.030749368E+00, 1.762775824E+02, 0.000000000E+00, 2.845623935E+02, 2.202488128E+05, 2.047119349E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414754966E+04, 1.030362003E+00, 1.765210630E+02, 0.000000000E+00, 2.845197202E+02, 2.202610621E+05, 2.046812360E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410070170E+04, 1.029951931E+00, 1.767785107E+02, 0.000000000E+00, 2.844745348E+02, 2.202740325E+05, 2.046487300E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405125803E+04, 1.029519068E+00, 1.770499277E+02, 0.000000000E+00, 2.844268263E+02, 2.202877271E+05, 2.046144089E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399921008E+04, 1.029063327E+00, 1.773353148E+02, 0.000000000E+00, 2.843765832E+02, 2.203021492E+05, 2.045782644E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394454919E+04, 1.028584620E+00, 1.776346711E+02, 0.000000000E+00, 2.843237937E+02, 2.203173022E+05, 2.045402880E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388726663E+04, 1.028082858E+00, 1.779479937E+02, 0.000000000E+00, 2.842684459E+02, 2.203331895E+05, 2.045004713E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382735365E+04, 1.027557950E+00, 1.782752781E+02, 0.000000000E+00, 2.842105275E+02, 2.203498147E+05, 2.044588053E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376480148E+04, 1.027009806E+00, 1.786165172E+02, 0.000000000E+00, 2.841500263E+02, 2.203671813E+05, 2.044152811E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369960137E+04, 1.026438334E+00, 1.789717023E+02, 0.000000000E+00, 2.840869295E+02, 2.203852929E+05, 2.043698898E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363174461E+04, 1.025843442E+00, 1.793408219E+02, 0.000000000E+00, 2.840212244E+02, 2.204041532E+05, 2.043226221E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356122254E+04, 1.025225037E+00, 1.797238625E+02, 0.000000000E+00, 2.839528980E+02, 2.204237659E+05, 2.042734687E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348802656E+04, 1.024583028E+00, 1.801208085E+02, 0.000000000E+00, 2.838819374E+02, 2.204441347E+05, 2.042224202E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341214812E+04, 1.023917321E+00, 1.805316417E+02, 0.000000000E+00, 2.838083293E+02, 2.204652634E+05, 2.041694671E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333357873E+04, 1.023227824E+00, 1.809563422E+02, 0.000000000E+00, 2.837320603E+02, 2.204871560E+05, 2.041145997E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325230995E+04, 1.022514442E+00, 1.813948876E+02, 0.000000000E+00, 2.836531168E+02, 2.205098162E+05, 2.040578084E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316833336E+04, 1.021777083E+00, 1.818472541E+02, 0.000000000E+00, 2.835714850E+02, 2.205332480E+05, 2.039990832E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308164057E+04, 1.021015651E+00, 1.823134159E+02, 0.000000000E+00, 2.834871511E+02, 2.205574555E+05, 2.039384140E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299222314E+04, 1.020230052E+00, 1.827933458E+02, 0.000000000E+00, 2.834001007E+02, 2.205824426E+05, 2.038757906E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290007260E+04, 1.019420187E+00, 1.832870152E+02, 0.000000000E+00, 2.833103193E+02, 2.206082137E+05, 2.038112026E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280518041E+04, 1.018585958E+00, 1.837943947E+02, 0.000000000E+00, 2.832177922E+02, 2.206347729E+05, 2.037446393E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270753786E+04, 1.017727266E+00, 1.843154540E+02, 0.000000000E+00, 2.831225041E+02, 2.206621247E+05, 2.036760898E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260713611E+04, 1.016844008E+00, 1.848501624E+02, 0.000000000E+00, 2.830244394E+02, 2.206902734E+05, 2.036055429E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250396607E+04, 1.015936077E+00, 1.853984892E+02, 0.000000000E+00, 2.829235821E+02, 2.207192237E+05, 2.035329869E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239801839E+04, 1.015003364E+00, 1.859604037E+02, 0.000000000E+00, 2.828199155E+02, 2.207489803E+05, 2.034584100E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228928340E+04, 1.014045758E+00, 1.865358759E+02, 0.000000000E+00, 2.827134225E+02, 2.207795483E+05, 2.033817997E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217775105E+04, 1.013063142E+00, 1.871248764E+02, 0.000000000E+00, 2.826040852E+02, 2.208109326E+05, 2.033031433E+05
