nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453768E+04, 1.033922507E+00, 1.742740543E+02, 0.000000000E+00, 2.849112973E+02, 3.000000000E+02, 2.201486565E+05, 2.049629335E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019841E+04, 1.033883891E+00, 1.742970408E+02, 0.000000000E+00, 2.849073168E+02, 3.000000000E+02, 2.201497991E+05, 2.049600699E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392934E+04, 1.033829139E+00, 1.743318991E+02, 0.000000000E+00, 2.849012795E+02, 3.000000000E+02, 2.201515320E+05, 2.049557268E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514530E+04, 1.033752317E+00, 1.743805685E+02, 0.000000000E+00, 2.848928483E+02, 3.000000000E+02, 2.201539521E+05, 2.049496615E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387660E+04, 1.033653790E+00, 1.744430353E+02, 0.000000000E+00, 2.848820235E+02, 3.000000000E+02, 2.201570592E+05, 2.049418742E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010563E+04, 1.033533393E+00, 1.745193716E+02, 0.000000000E+00, 2.848687900E+02, 3.000000000E+02, 2.201608578E+05, 2.049323541E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382510E+04, 1.033391055E+00, 1.746095991E+02, 0.000000000E+00, 2.848531409E+02, 3.000000000E+02, 2.201653497E+05, 2.049210962E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503058E+04, 1.033226734E+00, 1.747137253E+02, 0.000000000E+00, 2.848350711E+02, 3.000000001E+02, 2.201705364E+05, 2.049080970E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371728E+04, 1.033040381E+00, 1.748317566E+02, 0.000000000E+00, 2.848145752E+02, 3.000000001E+02, 2.201764196E+05, 2.048933524E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988009E+04, 1.032831948E+00, 1.749636997E+02, 0.000000000E+00, 2.847916472E+02, 3.000000001E+02, 2.201830008E+05, 2.048768582E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351348E+04, 1.032601379E+00, 1.751095612E+02, 0.000000000E+00, 2.847662804E+02, 3.000000002E+02, 2.201902821E+05, 2.048586095E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461148E+04, 1.032348617E+00, 1.752693484E+02, 0.000000000E+00, 2.847384675E+02, 3.000000002E+02, 2.201982655E+05, 2.048386011E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316771E+04, 1.032073598E+00, 1.754430683E+02, 0.000000000E+00, 2.847082006E+02, 3.000000003E+02, 2.202069533E+05, 2.048168273E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917539E+04, 1.031776257E+00, 1.756307281E+02, 0.000000000E+00, 2.846754713E+02, 3.000000004E+02, 2.202163480E+05, 2.047932821E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262738E+04, 1.031456522E+00, 1.758323346E+02, 0.000000000E+00, 2.846402705E+02, 3.000000005E+02, 2.202264520E+05, 2.047679590E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351617E+04, 1.031114321E+00, 1.760478942E+02, 0.000000000E+00, 2.846025888E+02, 3.000000005E+02, 2.202372681E+05, 2.047408511E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183399E+04, 1.030749575E+00, 1.762774125E+02, 0.000000000E+00, 2.845624163E+02, 3.000000006E+02, 2.202487993E+05, 2.047119513E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757279E+04, 1.030362206E+00, 1.765208941E+02, 0.000000000E+00, 2.845197425E+02, 3.000000007E+02, 2.202610483E+05, 2.046812521E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072433E+04, 1.029952130E+00, 1.767783428E+02, 0.000000000E+00, 2.844745567E+02, 3.000000008E+02, 2.202740185E+05, 2.046487457E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128018E+04, 1.029519262E+00, 1.770497608E+02, 0.000000000E+00, 2.844268477E+02, 3.000000009E+02, 2.202877129E+05, 2.046144243E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923176E+04, 1.029063517E+00, 1.773351488E+02, 0.000000000E+00, 2.843766041E+02, 3.000000010E+02, 2.203021348E+05, 2.045782794E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457042E+04, 1.028584806E+00, 1.776345060E+02, 0.000000000E+00, 2.843238142E+02, 3.000000011E+02, 2.203172876E+05, 2.045403028E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728742E+04, 1.028083040E+00, 1.779478295E+02, 0.000000000E+00, 2.842684660E+02, 3.000000012E+02, 2.203331748E+05, 2.045004857E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737401E+04, 1.027558129E+00, 1.782751147E+02, 0.000000000E+00, 2.842105472E+02, 3.000000014E+02, 2.203497998E+05, 2.044588194E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482142E+04, 1.027009981E+00, 1.786163546E+02, 0.000000000E+00, 2.841500456E+02, 3.000000015E+02, 2.203671662E+05, 2.044152950E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369962091E+04, 1.026438505E+00, 1.789715404E+02, 0.000000000E+00, 2.840869484E+02, 3.000000016E+02, 2.203852776E+05, 2.043699034E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176376E+04, 1.025843610E+00, 1.793406608E+02, 0.000000000E+00, 2.840212429E+02, 3.000000017E+02, 2.204041377E+05, 2.043226354E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356124131E+04, 1.025225202E+00, 1.797237021E+02, 0.000000000E+00, 2.839529162E+02, 3.000000019E+02, 2.204237501E+05, 2.042734818E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804496E+04, 1.024583189E+00, 1.801206487E+02, 0.000000000E+00, 2.838819553E+02, 3.000000020E+02, 2.204441187E+05, 2.042224330E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216616E+04, 1.023917479E+00, 1.805314826E+02, 0.000000000E+00, 2.838083468E+02, 3.000000021E+02, 2.204652473E+05, 2.041694797E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359642E+04, 1.023227979E+00, 1.809561837E+02, 0.000000000E+00, 2.837320775E+02, 3.000000023E+02, 2.204871396E+05, 2.041146121E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232730E+04, 1.022514595E+00, 1.813947298E+02, 0.000000000E+00, 2.836531336E+02, 3.000000024E+02, 2.205097997E+05, 2.040578205E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316835037E+04, 1.021777233E+00, 1.818470969E+02, 0.000000000E+00, 2.835715016E+02, 3.000000026E+02, 2.205332313E+05, 2.039990951E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308165725E+04, 1.021015798E+00, 1.823132592E+02, 0.000000000E+00, 2.834871673E+02, 3.000000027E+02, 2.205574386E+05, 2.039384257E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299223950E+04, 1.020230195E+00, 1.827931896E+02, 0.000000000E+00, 2.834001166E+02, 3.000000028E+02, 2.205824256E+05, 2.038758021E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290008866E+04, 1.019420328E+00, 1.832868595E+02, 0.000000000E+00, 2.833103350E+02, 3.000000030E+02, 2.206081964E+05, 2.038112139E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280519616E+04, 1.018586097E+00, 1.837942395E+02, 0.000000000E+00, 2.832178076E+02, 3.000000031E+02, 2.206347555E+05, 2.037446504E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270755331E+04, 1.017727402E+00, 1.843152993E+02, 0.000000000E+00, 2.831225192E+02, 3.000000033E+02, 2.206621070E+05, 2.036761007E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260715126E+04, 1.016844141E+00, 1.848500082E+02, 0.000000000E+00, 2.830244543E+02, 3.000000034E+02, 2.206902555E+05, 2.036055535E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250398093E+04, 1.015936207E+00, 1.853983354E+02, 0.000000000E+00, 2.829235966E+02, 3.000000036E+02, 2.207192056E+05, 2.035329974E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239803297E+04, 1.015003493E+00, 1.859602504E+02, 0.000000000E+00, 2.828199298E+02, 3.000000037E+02, 2.207489621E+05, 2.034584202E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228929770E+04, 1.014045884E+00, 1.865357230E+02, 0.000000000E+00, 2.827134365E+02, 3.000000039E+02, 2.207795298E+05, 2.033818098E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217776508E+04, 1.013063265E+00, 1.871247239E+02, 0.000000000E+00, 2.826040989E+02, 3.000000040E+02, 2.208109140E+05, 2.033031532E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206342463E+04, 1.012055514E+00, 1.877272251E+02, 0.000000000E+00, 2.824918986E+02, 3.000000042E+02, 2.208431199E+05, 2.032224372E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194626540E+04, 1.011022504E+00, 1.883432000E+02, 0.000000000E+00, 2.823768163E+02, 3.000000043E+02, 2.208761530E+05, 2.031396479E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182627590E+04, 1.009964102E+00, 1.889726238E+02, 0.000000000E+00, 2.822588318E+02, 3.000000044E+02, 2.209100192E+05, 2.030547708E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170344405E+04, 1.008880170E+00, 1.896154737E+02, 0.000000000E+00, 2.821379244E+02, 3.000000046E+02, 2.209447243E+05, 2.029677910E+05
        48, 1.429787234E-01, 0.000000000E+00, 8.157775715E+04, 1.007770562E+00, 1.902717293E+02, 0.000000000E+00, 2.820140720E+02, 3.000000047E+02, 2.209802748E+05, 2.028786925E+05
        49, 1.459574468E-01, 0.000000000E+00, 8.144920182E+04, 1.006635126E+00, 1.909413729E+02, 0.000000000E+00, 2.818872518E+02, 3.000000049E+02, 2.210166772E+05, 2.027874591E+05
        50, 1.489361702E-01, 0.000000000E+00, 8.131776398E+04, 1.005473703E+00, 1.916243895E+02, 0.000000000E+00, 2.817574400E+02, 3.000000050E+02, 2.210539382E+05, 2.026940735E+05
        51, 1.519148936E-01, 0.000000000E+00, 8.118342877E+04, 1.004286124E+00, 1.923207673E+02, 0.000000000E+00, 2.816246115E+02, 3.000000051E+02, 2.210920651E+05, 2.025985177E+05
        52, 1.548936170E-01, 0.000000000E+00, 8.104618059E+04, 1.003072215E+00, 1.930304976E+02, 0.000000000E+00, 2.814887403E+02, 3.000000053E+02, 2.211310654E+05, 2.025007731E+05
        53, 1.578723404E-01, 0.000000000E+00, 8.090600301E+04, 1.001831791E+00, 1.937535752E+02, 0.000000000E+00, 2.813497992E+02, 3.000000054E+02, 2.211709469E+05, 2.024008200E+05
        54, 1.608510638E-01, 0.000000000E+00, 8.076287876E+04, 1.000564660E+00, 1.944899983E+02, 0.000000000E+00, 2.812077598E+02, 3.000000055E+02, 2.212117178E+05, 2.022986379E+05
        55, 1.638297872E-01, 0.000000000E+00, 8.061678975E+04, 9.992706195E-01, 1.952397689E+02, 0.000000000E+00, 2.810625923E+02, 3.000000056E+02, 2.212533864E+05, 2.021942056E+05
        56, 1.668085106E-01, 0.000000000E+00, 8.046771703E+04, 9.979494604E-01, 1.960028922E+02, 0.000000000E+00, 2.809142660E+02, 3.000000057E+02, 2.212959619E+05, 2.020875008E+05
        57, 1.697872340E-01, 0.000000000E+00, 8.031564078E+04, 9.966009632E-01, 1.967793776E+02, 0.000000000E+00, 2.807627485E+02, 3.000000058E+02, 2.213394532E+05, 2.019785003E+05
        58, 1.727659574E-01, 0.000000000E+00, 8.016054035E+04, 9.952248996E-01, 1.975692377E+02, 0.000000000E+00, 2.806080066E+02, 3.000000060E+02, 2.213838701E+05, 2.018671802E+05
        59, 1.757446809E-01, 0.000000000E+00, 8.000239424E+04, 9.938210325E-01, 1.983724890E+02, 0.000000000E+00, 2.804500054E+02, 3.000000061E+02, 2.214292226E+05, 2.017535154E+05
        60, 1.787234043E-01, 0.000000000E+00, 7.984118012E+04, 9.923891158E-01, 1.991891514E+02, 0.000000000E+00, 2.802887091E+02, 3.000000062E+02, 2.214755208E+05, 2.016374801E+05
        61, 1.817021277E-01, 0.000000000E+00, 7.967687485E+04, 9.909288946E-01, 2.000192481E+02, 0.000000000E+00, 2.801240802E+02, 3.000000063E+02, 2.215227756E+05, 2.015190474E+05
        62, 1.846808511E-01, 0.000000000E+00, 7.950945453E+04, 9.894401056E-01, 2.008628060E+02, 0.000000000E+00, 2.799560803E+02, 3.000000063E+02, 2.215709981E+05, 2.013981896E+05
        63, 1.876595745E-01, 0.000000000E+00, 7.933889449E+04, 9.879224770E-01, 2.017198546E+02, 0.000000000E+00, 2.797846695E+02, 3.000000064E+02, 2.216201996E+05, 2.012748780E+05
        64, 1.906382979E-01, 0.000000000E+00, 7.916516935E+04, 9.863757289E-01, 2.025904270E+02, 0.000000000E+00, 2.796098068E+02, 3.000000065E+02, 2.216703919E+05, 2.011490832E+05
        65, 1.936170213E-01, 0.000000000E+00, 7.898825308E+04, 9.847995736E-01, 2.034745586E+02, 0.000000000E+00, 2.794314499E+02, 3.000000066E+02, 2.217215871E+05, 2.010207746E+05
        66, 1.965957447E-01, 0.000000000E+00, 7.880811899E+04, 9.831937159E-01, 2.043722877E+02, 0.000000000E+00, 2.792495553E+02, 3.000000067E+02, 2.217737979E+05, 2.008899211E+05
        67, 1.995744681E-01, 0.000000000E+00, 7.862473982E+04, 9.815578535E-01, 2.052836549E+02, 0.000000000E+00, 2.790640783E+02, 3.000000067E+02, 2.218270369E+05, 2.007564904E+05
        68, 2.025531915E-01, 0.000000000E+00, 7.843808780E+04, 9.798916772E-01, 2.062087031E+02, 0.000000000E+00, 2.788749731E+02, 3.000000068E+02, 2.218813173E+05, 2.006204496E+05
