nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
       188, 5.600000000E-01, 0.000000000E+00, 3.201566634E+04, 5.164221315E-01, 4.112482055E+02, 0.000000000E+00, 2.159806707E+02, 2.399343596E+05, 1.553747860E+05
       189, 5.629787234E-01, 0.000000000E+00, 3.161195787E+04, 5.117590309E-01, 4.131531676E+02, 0.000000000E+00, 2.152003862E+02, 2.401583308E+05, 1.548134555E+05
       190, 5.659574468E-01, 0.000000000E+00, 3.121230577E+04, 5.071260246E-01, 4.150474582E+02, 0.000000000E+00, 2.144208946E+02, 2.403820744E+05, 1.542526954E+05
       191, 5.689361702E-01, 0.000000000E+00, 3.081673171E+04, 5.025236022E-01, 4.169309721E+02, 0.000000000E+00, 2.136423000E+02, 2.406055606E+05, 1.536925806E+05
       192, 5.719148936E-01, 0.000000000E+00, 3.042525403E+04, 4.979522216E-01, 4.188036124E+02, 0.000000000E+00, 2.128647033E+02, 2.408287604E+05, 1.531331837E+05
       193, 5.748936170E-01, 0.000000000E+00, 3.003788589E+04, 4.934122866E-01, 4.206653005E+02, 0.000000000E+00, 2.120881981E+02, 2.410516468E+05, 1.525745720E+05
       194, 5.778723404E-01, 0.000000000E+00, 2.965463328E+04, 4.889041227E-01, 4.225159855E+02, 0.000000000E+00, 2.113128668E+02, 2.412741963E+05, 1.520168048E+05
       195, 5.808510638E-01, 0.000000000E+00, 2.927549374E+04, 4.844279601E-01, 4.243556519E+02, 0.000000000E+00, 2.105387768E+02, 2.414963894E+05, 1.514599306E+05
       196, 5.838297872E-01, 0.000000000E+00, 2.890045645E+04, 4.799839333E-01, 4.261843194E+02, 0.000000000E+00, 2.097659803E+02, 2.417182113E+05, 1.509039869E+05
       197, 5.868085106E-01, 0.000000000E+00, 2.852950425E+04, 4.755721032E-01, 4.280020344E+02, 0.000000000E+00, 2.089945177E+02, 2.419396503E+05, 1.503490028E+05
       198, 5.897872340E-01, 0.000000000E+00, 2.816261789E+04, 4.711925068E-01, 4.298088495E+02, 0.000000000E+00, 2.082244259E+02, 2.421606959E+05, 1.497950048E+05
       199, 5.927659574E-01, 0.000000000E+00, 2.779978218E+04, 4.668452305E-01, 4.316047934E+02, 0.000000000E+00, 2.074557513E+02, 2.423813346E+05, 1.492420264E+05
       200, 5.957446809E-01, 0.000000000E+00, 2.744099326E+04, 4.625304983E-01, 4.333898342E+02, 0.000000000E+00, 2.066885661E+02, 2.426015459E+05, 1.486901195E+05
       201, 5.987234043E-01, 0.000000000E+00, 2.708626581E+04, 4.582487619E-01, 4.351638416E+02, 0.000000000E+00, 2.059229846E+02, 2.428212968E+05, 1.481393662E+05
       202, 6.017021277E-01, 0.000000000E+00, 2.673563911E+04, 4.540007782E-01, 4.369265542E+02, 0.000000000E+00, 2.051591787E+02, 2.430405380E+05, 1.475898903E+05
       203, 6.046808511E-01, 0.000000000E+00, 2.638918060E+04, 4.497876588E-01, 4.386775579E+02, 0.000000000E+00, 2.043973884E+02, 2.432592007E+05, 1.470418643E+05
       204, 6.076595745E-01, 0.000000000E+00, 2.604698647E+04, 4.456108827E-01, 4.404162792E+02, 0.000000000E+00, 2.036379258E+02, 2.434771953E+05, 1.464955130E+05
       205, 6.106382979E-01, 0.000000000E+00, 2.570917873E+04, 4.414722683E-01, 4.421419957E+02, 0.000000000E+00, 2.028811722E+02, 2.436944122E+05, 1.459511104E+05
       206, 6.136170213E-01, 0.000000000E+00, 2.537589932E+04, 4.373739059E-01, 4.438538627E+02, 0.000000000E+00, 2.021275673E+02, 2.439107254E+05, 1.454089730E+05
       207, 6.165957447E-01, 0.000000000E+00, 2.504730179E+04, 4.333180604E-01, 4.455509529E+02, 0.000000000E+00, 2.013775926E+02, 2.441259966E+05, 1.448694471E+05
       208, 6.195744681E-01, 0.000000000E+00, 2.472354164E+04, 4.293070536E-01, 4.472323043E+02, 0.000000000E+00, 2.006317505E+02, 2.443400816E+05, 1.443328942E+05
       209, 6.225531915E-01, 0.000000000E+00, 2.440476655E+04, 4.253431434E-01, 4.488969712E+02, 0.000000000E+00, 1.998905421E+02, 2.445528365E+05, 1.437996747E+05
       210, 6.255319149E-01, 0.000000000E+00, 2.409110736E+04, 4.214284094E-01, 4.505440714E+02, 0.000000000E+00, 1.991544453E+02, 2.447641241E+05, 1.432701326E+05
       211, 6.285106383E-01, 0.000000000E+00, 2.378267088E+04, 4.175646585E-01, 4.521728271E+02, 0.000000000E+00, 1.984238964E+02, 2.449738194E+05, 1.427445814E+05
       212, 6.314893617E-01, 0.000000000E+00, 2.347953496E+04, 4.137533573E-01, 4.537825938E+02, 0.000000000E+00, 1.976992749E+02, 2.451818132E+05, 1.422232945E+05
       213, 6.344680851E-01, 0.000000000E+00, 2.318174602E+04, 4.099955940E-01, 4.553728780E+02, 0.000000000E+00, 1.969808957E+02, 2.453880153E+05, 1.417064982E+05
       214, 6.374468085E-01, 0.000000000E+00, 2.288931902E+04, 4.062920707E-01, 4.569433418E+02, 0.000000000E+00, 1.962690046E+02, 2.455923550E+05, 1.411943693E+05
       215, 6.404255319E-01, 0.000000000E+00, 2.260223946E+04, 4.026431217E-01, 4.584937971E+02, 0.000000000E+00, 1.955637802E+02, 2.457947811E+05, 1.406870365E+05
       216, 6.434042553E-01, 0.000000000E+00, 2.232046700E+04, 3.990487521E-01, 4.600241899E+02, 0.000000000E+00, 1.948653398E+02, 2.459952600E+05, 1.401845840E+05
       217, 6.463829787E-01, 0.000000000E+00, 2.204393996E+04, 3.955086903E-01, 4.615345806E+02, 0.000000000E+00, 1.941737474E+02, 2.461937733E+05, 1.396870579E+05
       218, 6.493617021E-01, 0.000000000E+00, 2.177258035E+04, 3.920224470E-01, 4.630251190E+02, 0.000000000E+00, 1.934890240E+02, 2.463903148E+05, 1.391944733E+05
       219, 6.523404255E-01, 0.000000000E+00, 2.150629871E+04, 3.885893745E-01, 4.644960207E+02, 0.000000000E+00, 1.928111585E+02, 2.465848879E+05, 1.387068222E+05
       220, 6.553191489E-01, 0.000000000E+00, 2.124499863E+04, 3.852087217E-01, 4.659475442E+02, 0.000000000E+00, 1.921401172E+02, 2.467775022E+05, 1.382240804E+05
       221, 6.582978723E-01, 0.000000000E+00, 2.098858044E+04, 3.818796815E-01, 4.673799710E+02, 0.000000000E+00, 1.914758533E+02, 2.469681711E+05, 1.377462142E+05
       222, 6.612765957E-01, 0.000000000E+00, 2.073694419E+04, 3.786014280E-01, 4.687935903E+02, 0.000000000E+00, 1.908183137E+02, 2.471569099E+05, 1.372731855E+05
       223, 6.642553191E-01, 0.000000000E+00, 2.048999173E+04, 3.753731442E-01, 4.701886870E+02, 0.000000000E+00, 1.901674446E+02, 2.473437340E+05, 1.368049554E+05
       224, 6.672340426E-01, 0.000000000E+00, 2.024762815E+04, 3.721940408E-01, 4.715655338E+02, 0.000000000E+00, 1.895231952E+02, 2.475286581E+05, 1.363414874E+05
       225, 6.702127660E-01, 0.000000000E+00, 2.000976244E+04, 3.690633657E-01, 4.729243873E+02, 0.000000000E+00, 1.888855199E+02, 2.477116950E+05, 1.358827488E+05
       226, 6.731914894E-01, 0.000000000E+00, 1.977630776E+04, 3.659804086E-01, 4.742654856E+02, 0.000000000E+00, 1.882543793E+02, 2.478928563E+05, 1.354287113E+05
       227, 6.761702128E-01, 0.000000000E+00, 1.954718132E+04, 3.629445000E-01, 4.755890489E+02, 0.000000000E+00, 1.876297405E+02, 2.480721513E+05, 1.349793511E+05
       228, 6.791489362E-01, 0.000000000E+00, 1.932230401E+04, 3.599550072E-01, 4.768952813E+02, 0.000000000E+00, 1.870115760E+02, 2.482495880E+05, 1.345346484E+05
       229, 6.821276596E-01, 0.000000000E+00, 1.910159992E+04, 3.570113285E-01, 4.781843730E+02, 0.000000000E+00, 1.863998628E+02, 2.484251729E+05, 1.340945868E+05
       230, 6.851063830E-01, 0.000000000E+00, 1.888499573E+04, 3.541128859E-01, 4.794565038E+02, 0.000000000E+00, 1.857945812E+02, 2.485989116E+05, 1.336591520E+05
       231, 6.880851064E-01, 0.000000000E+00, 1.867242019E+04, 3.512591187E-01, 4.807118457E+02, 0.000000000E+00, 1.851957133E+02, 2.487708094E+05, 1.332283312E+05
       232, 6.910638298E-01, 0.000000000E+00, 1.846380359E+04, 3.484494761E-01, 4.819505661E+02, 0.000000000E+00, 1.846032419E+02, 2.489408712E+05, 1.328021119E+05
       233, 6.940425532E-01, 0.000000000E+00, 1.825907735E+04, 3.456834127E-01, 4.831728302E+02, 0.000000000E+00, 1.840171490E+02, 2.491091021E+05, 1.323804813E+05
       234, 6.970212766E-01, 0.000000000E+00, 1.805817370E+04, 3.429603838E-01, 4.843788028E+02, 0.000000000E+00, 1.834374151E+02, 2.492755076E+05, 1.319634254E+05
       235, 7.000000000E-01, 0.000000000E+00, 1.786102555E+04, 3.402798443E-01, 4.855686491E+02, 0.000000000E+00, 1.828640192E+02, 2.494400940E+05, 1.315509289E+05
       236, 7.029787234E-01, 0.000000000E+00, 1.766756654E+04, 3.376412485E-01, 4.867425347E+02, 0.000000000E+00, 1.822969383E+02, 2.496028677E+05, 1.311429754E+05
       237, 7.059574468E-01, 0.000000000E+00, 1.747773119E+04, 3.350440536E-01, 4.879006244E+02, 0.000000000E+00, 1.817361484E+02, 2.497638357E+05, 1.307395475E+05
       238, 7.089361702E-01, 0.000000000E+00, 1.729145528E+04, 3.324877240E-01, 4.890430802E+02, 0.000000000E+00, 1.811816252E+02, 2.499230049E+05, 1.303406279E+05
       239, 7.119148936E-01, 0.000000000E+00, 1.710867629E+04, 3.299717380E-01, 4.901700582E+02, 0.000000000E+00, 1.806333460E+02, 2.500803818E+05, 1.299462002E+05
       240, 7.148936170E-01, 0.000000000E+00, 1.692933394E+04, 3.274955957E-01, 4.912817052E+02, 0.000000000E+00, 1.800912910E+02, 2.502359721E+05, 1.295562501E+05
       241, 7.178723404E-01, 0.000000000E+00, 1.675337058E+04, 3.250588246E-01, 4.923781563E+02, 0.000000000E+00, 1.795554450E+02, 2.503897802E+05, 1.291707667E+05
       242, 7.208510638E-01, 0.000000000E+00, 1.658073196E+04, 3.226609907E-01, 4.934595295E+02, 0.000000000E+00, 1.790257996E+02, 2.505418085E+05, 1.287897441E+05
       243, 7.238297872E-01, 0.000000000E+00, 1.641136615E+04, 3.203016846E-01, 4.945259321E+02, 0.000000000E+00, 1.785023510E+02, 2.506920581E+05, 1.284131792E+05
       244, 7.268085106E-01, 0.000000000E+00, 1.624522805E+04, 3.179805849E-01, 4.955774324E+02, 0.000000000E+00, 1.779851128E+02, 2.508405251E+05, 1.280410822E+05
       245, 7.297872340E-01, 0.000000000E+00, 1.608226302E+04, 3.156972278E-01, 4.966141604E+02, 0.000000000E+00, 1.774740677E+02, 2.509872144E+05, 1.276734404E+05
       246, 7.327659574E-01, 0.000000000E+00, 1.592246209E+04, 3.134517934E-01, 4.976359668E+02, 0.000000000E+00, 1.769693354E+02, 2.511320917E+05, 1.273103400E+05
       247, 7.357446809E-01, 0.000000000E+00, 1.576567436E+04, 3.112424170E-01, 4.986435776E+02, 0.000000000E+00, 1.764706005E+02, 2.512752476E+05, 1.269515540E+05
       248, 7.387234043E-01, 0.000000000E+00, 1.561221071E+04, 3.090739122E-01, 4.996349054E+02, 0.000000000E+00, 1.759789446E+02, 2.514163714E+05, 1.265978607E+05
       249, 7.417021277E-01, 0.000000000E+00, 1.546081676E+04, 3.069282451E-01, 5.006173412E+02, 0.000000000E+00, 1.754907381E+02, 2.515565052E+05, 1.262466488E+05
       250, 7.446808511E-01, 0.000000000E+00, 1.531694930E+04, 3.048854772E-01, 5.015571748E+02, 0.000000000E+00, 1.750227544E+02, 2.516908341E+05, 1.259099850E+05
       251, 7.476595745E-01, 0.000000000E+00, 1.514076573E+04, 3.023692637E-01, 5.027090547E+02, 0.000000000E+00, 1.744481898E+02, 2.518557559E+05, 1.254966478E+05
