nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453398E+04, 1.033922474E+00, 1.742740754E+02, 0.000000000E+00, 2.849112937E+02, 3.000000001E+02, 2.201486577E+05, 2.049629309E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019489E+04, 1.033883860E+00, 1.742970615E+02, 0.000000000E+00, 2.849073134E+02, 3.000000002E+02, 2.201498003E+05, 2.049600675E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392600E+04, 1.033829110E+00, 1.743319193E+02, 0.000000000E+00, 2.849012763E+02, 3.000000003E+02, 2.201515332E+05, 2.049557245E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514214E+04, 1.033752290E+00, 1.743805883E+02, 0.000000000E+00, 2.848928453E+02, 3.000000004E+02, 2.201539534E+05, 2.049496593E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387364E+04, 1.033653764E+00, 1.744430547E+02, 0.000000000E+00, 2.848820207E+02, 3.000000005E+02, 2.201570606E+05, 2.049418721E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010286E+04, 1.033533369E+00, 1.745193906E+02, 0.000000000E+00, 2.848687873E+02, 3.000000006E+02, 2.201608592E+05, 2.049323522E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382253E+04, 1.033391033E+00, 1.746096177E+02, 0.000000000E+00, 2.848531384E+02, 3.000000008E+02, 2.201653512E+05, 2.049210945E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447502823E+04, 1.033226713E+00, 1.747137434E+02, 0.000000000E+00, 2.848350688E+02, 3.000000009E+02, 2.201705380E+05, 2.049080954E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371514E+04, 1.033040363E+00, 1.748317743E+02, 0.000000000E+00, 2.848145732E+02, 3.000000011E+02, 2.201764212E+05, 2.048933509E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442987816E+04, 1.032831931E+00, 1.749637169E+02, 0.000000000E+00, 2.847916454E+02, 3.000000013E+02, 2.201830025E+05, 2.048768568E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351176E+04, 1.032601364E+00, 1.751095780E+02, 0.000000000E+00, 2.847662787E+02, 3.000000015E+02, 2.201902839E+05, 2.048586083E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460998E+04, 1.032348603E+00, 1.752693647E+02, 0.000000000E+00, 2.847384660E+02, 3.000000017E+02, 2.201982674E+05, 2.048386001E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316644E+04, 1.032073587E+00, 1.754430842E+02, 0.000000000E+00, 2.847081994E+02, 3.000000019E+02, 2.202069552E+05, 2.048168264E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917434E+04, 1.031776248E+00, 1.756307436E+02, 0.000000000E+00, 2.846754702E+02, 3.000000021E+02, 2.202163499E+05, 2.047932814E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262655E+04, 1.031456515E+00, 1.758323496E+02, 0.000000000E+00, 2.846402697E+02, 3.000000023E+02, 2.202264540E+05, 2.047679584E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351556E+04, 1.031114316E+00, 1.760479088E+02, 0.000000000E+00, 2.846025883E+02, 3.000000025E+02, 2.202372703E+05, 2.047408507E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183360E+04, 1.030749572E+00, 1.762774266E+02, 0.000000000E+00, 2.845624159E+02, 3.000000027E+02, 2.202488015E+05, 2.047119510E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757263E+04, 1.030362204E+00, 1.765209079E+02, 0.000000000E+00, 2.845197423E+02, 3.000000030E+02, 2.202610507E+05, 2.046812520E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072439E+04, 1.029952130E+00, 1.767783561E+02, 0.000000000E+00, 2.844745567E+02, 3.000000032E+02, 2.202740209E+05, 2.046487458E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128045E+04, 1.029519265E+00, 1.770497737E+02, 0.000000000E+00, 2.844268480E+02, 3.000000034E+02, 2.202877154E+05, 2.046144245E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923225E+04, 1.029063521E+00, 1.773351613E+02, 0.000000000E+00, 2.843766046E+02, 3.000000037E+02, 2.203021374E+05, 2.045782798E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457112E+04, 1.028584812E+00, 1.776345180E+02, 0.000000000E+00, 2.843238149E+02, 3.000000039E+02, 2.203172902E+05, 2.045403033E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728834E+04, 1.028083048E+00, 1.779478412E+02, 0.000000000E+00, 2.842684669E+02, 3.000000042E+02, 2.203331775E+05, 2.045004864E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737513E+04, 1.027558138E+00, 1.782751259E+02, 0.000000000E+00, 2.842105483E+02, 3.000000044E+02, 2.203498025E+05, 2.044588202E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482275E+04, 1.027009992E+00, 1.786163655E+02, 0.000000000E+00, 2.841500468E+02, 3.000000047E+02, 2.203671690E+05, 2.044152959E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369962243E+04, 1.026438518E+00, 1.789715509E+02, 0.000000000E+00, 2.840869499E+02, 3.000000049E+02, 2.203852805E+05, 2.043699045E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176548E+04, 1.025843625E+00, 1.793406709E+02, 0.000000000E+00, 2.840212446E+02, 3.000000052E+02, 2.204041407E+05, 2.043226366E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356124322E+04, 1.025225219E+00, 1.797237119E+02, 0.000000000E+00, 2.839529181E+02, 3.000000055E+02, 2.204237532E+05, 2.042734831E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804705E+04, 1.024583208E+00, 1.801206582E+02, 0.000000000E+00, 2.838819573E+02, 3.000000057E+02, 2.204441219E+05, 2.042224345E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216843E+04, 1.023917499E+00, 1.805314917E+02, 0.000000000E+00, 2.838083490E+02, 3.000000060E+02, 2.204652505E+05, 2.041694812E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359886E+04, 1.023228000E+00, 1.809561925E+02, 0.000000000E+00, 2.837320798E+02, 3.000000062E+02, 2.204871429E+05, 2.041146138E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232991E+04, 1.022514618E+00, 1.813947382E+02, 0.000000000E+00, 2.836531362E+02, 3.000000065E+02, 2.205098030E+05, 2.040578223E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316835315E+04, 1.021777257E+00, 1.818471050E+02, 0.000000000E+00, 2.835715043E+02, 3.000000067E+02, 2.205332347E+05, 2.039990970E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308166018E+04, 1.021015824E+00, 1.823132671E+02, 0.000000000E+00, 2.834871702E+02, 3.000000070E+02, 2.205574421E+05, 2.039384277E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299224258E+04, 1.020230222E+00, 1.827931972E+02, 0.000000000E+00, 2.834001196E+02, 3.000000072E+02, 2.205824291E+05, 2.038758042E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290009187E+04, 1.019420356E+00, 1.832868668E+02, 0.000000000E+00, 2.833103381E+02, 3.000000075E+02, 2.206082000E+05, 2.038112161E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280519951E+04, 1.018586126E+00, 1.837942466E+02, 0.000000000E+00, 2.832178108E+02, 3.000000077E+02, 2.206347591E+05, 2.037446527E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270755679E+04, 1.017727433E+00, 1.843153061E+02, 0.000000000E+00, 2.831225226E+02, 3.000000079E+02, 2.206621107E+05, 2.036761031E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260715486E+04, 1.016844173E+00, 1.848500148E+02, 0.000000000E+00, 2.830244578E+02, 3.000000082E+02, 2.206902592E+05, 2.036055561E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250398464E+04, 1.015936240E+00, 1.853983418E+02, 0.000000000E+00, 2.829236003E+02, 3.000000084E+02, 2.207192094E+05, 2.035330000E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239803678E+04, 1.015003526E+00, 1.859602566E+02, 0.000000000E+00, 2.828199335E+02, 3.000000086E+02, 2.207489659E+05, 2.034584229E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228930160E+04, 1.014045919E+00, 1.865357290E+02, 0.000000000E+00, 2.827134403E+02, 3.000000088E+02, 2.207795337E+05, 2.033818126E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217776907E+04, 1.013063301E+00, 1.871247297E+02, 0.000000000E+00, 2.826041028E+02, 3.000000090E+02, 2.208109179E+05, 2.033031561E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206342870E+04, 1.012055550E+00, 1.877272308E+02, 0.000000000E+00, 2.824919026E+02, 3.000000092E+02, 2.208431238E+05, 2.032224401E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194626955E+04, 1.011022540E+00, 1.883432055E+02, 0.000000000E+00, 2.823768203E+02, 3.000000094E+02, 2.208761570E+05, 2.031396508E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182628011E+04, 1.009964139E+00, 1.889726291E+02, 0.000000000E+00, 2.822588360E+02, 3.000000096E+02, 2.209100232E+05, 2.030547738E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170344832E+04, 1.008880207E+00, 1.896154789E+02, 0.000000000E+00, 2.821379286E+02, 3.000000098E+02, 2.209447284E+05, 2.029677940E+05
        48, 1.429787234E-01, 0.000000000E+00, 8.157776147E+04, 1.007770600E+00, 1.902717344E+02, 0.000000000E+00, 2.820140762E+02, 3.000000099E+02, 2.209802789E+05, 2.028786956E+05
        49, 1.459574468E-01, 0.000000000E+00, 8.144920618E+04, 1.006635165E+00, 1.909413779E+02, 0.000000000E+00, 2.818872561E+02, 3.000000101E+02, 2.210166812E+05, 2.027874622E+05
        50, 1.489361702E-01, 0.000000000E+00, 8.131776837E+04, 1.005473742E+00, 1.916243944E+02, 0.000000000E+00, 2.817574443E+02, 3.000000103E+02, 2.210539423E+05, 2.026940766E+05
        51, 1.519148936E-01, 0.000000000E+00, 8.118343319E+04, 1.004286163E+00, 1.923207721E+02, 0.000000000E+00, 2.816246159E+02, 3.000000104E+02, 2.210920692E+05, 2.025985209E+05
        52, 1.548936170E-01, 0.000000000E+00, 8.104618502E+04, 1.003072254E+00, 1.930305024E+02, 0.000000000E+00, 2.814887447E+02, 3.000000105E+02, 2.211310695E+05, 2.025007763E+05
        53, 1.578723404E-01, 0.000000000E+00, 8.090600744E+04, 1.001831830E+00, 1.937535799E+02, 0.000000000E+00, 2.813498036E+02, 3.000000107E+02, 2.211709510E+05, 2.024008231E+05
        54, 1.608510638E-01, 0.000000000E+00, 8.076288319E+04, 1.000564699E+00, 1.944900030E+02, 0.000000000E+00, 2.812077642E+02, 3.000000108E+02, 2.212117218E+05, 2.022986411E+05
        55, 1.638297872E-01, 0.000000000E+00, 8.061679417E+04, 9.992706587E-01, 1.952397735E+02, 0.000000000E+00, 2.810625967E+02, 3.000000109E+02, 2.212533905E+05, 2.021942088E+05
        56, 1.668085106E-01, 0.000000000E+00, 8.046772143E+04, 9.979494995E-01, 1.960028968E+02, 0.000000000E+00, 2.809142703E+02, 3.000000110E+02, 2.212959659E+05, 2.020875039E+05
        57, 1.697872340E-01, 0.000000000E+00, 8.031564516E+04, 9.966010021E-01, 1.967793822E+02, 0.000000000E+00, 2.807627529E+02, 3.000000111E+02, 2.213394573E+05, 2.019785035E+05
        58, 1.727659574E-01, 0.000000000E+00, 8.016054470E+04, 9.952249382E-01, 1.975692423E+02, 0.000000000E+00, 2.806080109E+02, 3.000000112E+02, 2.213838742E+05, 2.018671833E+05
        59, 1.757446809E-01, 0.000000000E+00, 8.000239855E+04, 9.938210708E-01, 1.983724936E+02, 0.000000000E+00, 2.804500097E+02, 3.000000113E+02, 2.214292266E+05, 2.017535185E+05
        60, 1.787234043E-01, 0.000000000E+00, 7.984118438E+04, 9.923891536E-01, 1.991891560E+02, 0.000000000E+00, 2.802887133E+02, 3.000000113E+02, 2.214755248E+05, 2.016374832E+05
        61, 1.817021277E-01, 0.000000000E+00, 7.967687906E+04, 9.909289320E-01, 2.000192528E+02, 0.000000000E+00, 2.801240844E+02, 3.000000114E+02, 2.215227796E+05, 2.015190504E+05
        62, 1.846808511E-01, 0.000000000E+00, 7.950945868E+04, 9.894401425E-01, 2.008628107E+02, 0.000000000E+00, 2.799560845E+02, 3.000000114E+02, 2.215710020E+05, 2.013981926E+05
        63, 1.876595745E-01, 0.000000000E+00, 7.933889856E+04, 9.879225133E-01, 2.017198594E+02, 0.000000000E+00, 2.797846736E+02, 3.000000115E+02, 2.216202035E+05, 2.012748810E+05
