nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453914E+04, 1.033922519E+00, 1.742740463E+02, 0.000000000E+00, 2.849112987E+02, 3.000000000E+02, 2.201486562E+05, 2.049629345E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019989E+04, 1.033883904E+00, 1.742970327E+02, 0.000000000E+00, 2.849073182E+02, 3.000000000E+02, 2.201497987E+05, 2.049600710E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393084E+04, 1.033829152E+00, 1.743318910E+02, 0.000000000E+00, 2.849012810E+02, 3.000000000E+02, 2.201515316E+05, 2.049557278E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514679E+04, 1.033752330E+00, 1.743805604E+02, 0.000000000E+00, 2.848928498E+02, 3.000000000E+02, 2.201539517E+05, 2.049496625E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387808E+04, 1.033653803E+00, 1.744430272E+02, 0.000000000E+00, 2.848820249E+02, 3.000000000E+02, 2.201570588E+05, 2.049418752E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010708E+04, 1.033533406E+00, 1.745193635E+02, 0.000000000E+00, 2.848687914E+02, 3.000000000E+02, 2.201608574E+05, 2.049323551E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382651E+04, 1.033391068E+00, 1.746095911E+02, 0.000000000E+00, 2.848531422E+02, 3.000000000E+02, 2.201653493E+05, 2.049210972E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503195E+04, 1.033226746E+00, 1.747137174E+02, 0.000000000E+00, 2.848350724E+02, 3.000000000E+02, 2.201705360E+05, 2.049080979E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371859E+04, 1.033040393E+00, 1.748317488E+02, 0.000000000E+00, 2.848145765E+02, 3.000000000E+02, 2.201764191E+05, 2.048933533E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988133E+04, 1.032831959E+00, 1.749636919E+02, 0.000000000E+00, 2.847916484E+02, 3.000000000E+02, 2.201830003E+05, 2.048768590E+05
