Node number,x-coordinate,y-coordinate,pressure,density,x-velocity,y-velocity,temperature,total temperature,total energy,internal energy
0.0,0.4111000466,0.002018756283,55722.3359375,0.767784833908081,307.5773620605469,-0.06748007982969284,0.0,0.0,229255.171875,0.0
0.0,0.4140792772,0.002018783115,55258.92578125,0.7631583213806152,309.5608825683594,-0.01417704951018095,0.0,0.0,229430.484375,0.0
0.0,0.4081208164,0.002018983296,56182.22265625,0.7723641991615295,305.608642578125,-0.11957654356956482,0.0,0.0,229082.296875,0.0
0.0,0.4170585071,0.00201906961,54792.046875,0.7584851384162903,311.5588073730469,0.040144845843315125,0.0,0.0,229608.265625,0.0
0.0,0.4051415878,0.002019458325,56638.49609375,0.7768958806991577,303.6545715332031,-0.17027877271175385,0.0,0.0,228911.875,0.0
0.0,0.4200377351,0.002019621327,54321.8046875,0.7537657022476196,313.5707702636719,0.09543199092149734,0.0,0.0,229788.515625,0.0
0.0,0.4021623616,0.002020175532,57091.12109375,0.7813799977302551,301.71551513671875,-0.2192918211221695,0.0,0.0,228743.890625,0.0
0.0,0.42301696,0.002020440857,53848.31640625,0.7490009069442749,315.59649658203125,0.15117494761943817,0.0,0.0,229971.1875,0.0
0.0,0.3991831388,0.002021129069,57540.01171875,0.7858161330223083,299.791748046875,-0.26666930317878723,0.0,0.0,228578.328125,0.0
0.0,0.4259961805,0.002021528815,53371.64453125,0.7441908121109009,317.63592529296875,0.20721283555030823,0.0,0.0,230156.328125,0.0
0.0,0.3962039203,0.002022313083,57985.1328125,0.7902041673660278,297.883056640625,-0.31222355365753174,0.0,0.0,228415.171875,0.0
0.0,0.4289753953,0.002022885784,52891.91796875,0.7393366694450378,319.6885070800781,0.2635456621646881,0.0,0.0,230343.890625,0.0
0.0,0.3932247068,0.002023721715,58426.421875,0.7945438623428345,295.98980712890625,-0.3555791676044464,0.0,0.0,228254.4375,0.0
0.0,0.4319546032,0.002024512356,52409.25,0.734438955783844,321.75384521484375,0.319878488779068,0.0,0.0,230533.890625,0.0
0.0,0.3902454991,0.002025349106,58863.83984375,0.7988351583480835,294.1119384765625,-0.39684343338012695,0.0,0.0,228096.078125,0.0
0.0,0.4349338028,0.00202640913,51923.78125,0.729499101638794,323.8315734863281,0.37564826011657715,0.0,0.0,230726.296875,0.0
0.0,0.3872662977,0.002027189394,59297.375,0.8030784726142883,292.24957275390625,-0.43601635098457336,0.0,0.0,227940.078125,0.0
0.0,0.4379129928,0.00202857671,51435.64453125,0.7245178818702698,325.9211730957031,0.4309353828430176,0.0,0.0,230921.078125,0.0
0.0,0.3842871033,0.002029236716,59726.97265625,0.807273268699646,290.40277099609375,-0.4728833734989166,0.0,0.0,227786.421875,0.0
0.0,0.4408921721,0.002031015707,50945.0,0.7194964289665222,328.0220947265625,0.4854449927806854,0.0,0.0,231118.1875,0.0
