nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455474324E+04, 1.033924309E+00, 1.742728663E+02, 0.000000000E+00, 2.849114934E+02, 2.999999904E+02, 2.201485906E+05, 2.049630746E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455038970E+04, 1.033885563E+00, 1.742958878E+02, 0.000000000E+00, 2.849075005E+02, 2.999999840E+02, 2.201497303E+05, 2.049602021E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454410799E+04, 1.033830701E+00, 1.743307758E+02, 0.000000000E+00, 2.849014512E+02, 2.999999770E+02, 2.201514597E+05, 2.049558503E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453531183E+04, 1.033753773E+00, 1.743794733E+02, 0.000000000E+00, 2.848930084E+02, 2.999999702E+02, 2.201538762E+05, 2.049497766E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452403163E+04, 1.033655146E+00, 1.744419667E+02, 0.000000000E+00, 2.848821725E+02, 2.999999638E+02, 2.201569800E+05, 2.049419814E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451024984E+04, 1.033534654E+00, 1.745183281E+02, 0.000000000E+00, 2.848689287E+02, 2.999999577E+02, 2.201607754E+05, 2.049324538E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449395918E+04, 1.033392227E+00, 1.746085791E+02, 0.000000000E+00, 2.848532698E+02, 2.999999520E+02, 2.201652643E+05, 2.049211890E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447515521E+04, 1.033227823E+00, 1.747127271E+02, 0.000000000E+00, 2.848351910E+02, 2.999999467E+02, 2.201704483E+05, 2.049081832E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445383313E+04, 1.033041394E+00, 1.748307789E+02, 0.000000000E+00, 2.848146867E+02, 2.999999417E+02, 2.201763288E+05, 2.048934326E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442998781E+04, 1.032832889E+00, 1.749627409E+02, 0.000000000E+00, 2.847917509E+02, 2.999999372E+02, 2.201829077E+05, 2.048769328E+05
