nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455451442E+04, 1.033922303E+00, 1.742741881E+02, 0.000000000E+00, 2.849112750E+02, 3.000000009E+02, 2.201486639E+05, 2.049629175E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455017661E+04, 1.033883700E+00, 1.742971710E+02, 0.000000000E+00, 2.849072958E+02, 3.000000016E+02, 2.201498067E+05, 2.049600549E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454390895E+04, 1.033828961E+00, 1.743320260E+02, 0.000000000E+00, 2.849012599E+02, 3.000000024E+02, 2.201515400E+05, 2.049557127E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453512633E+04, 1.033752151E+00, 1.743806922E+02, 0.000000000E+00, 2.848928301E+02, 3.000000032E+02, 2.201539605E+05, 2.049496483E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452385906E+04, 1.033653637E+00, 1.744431558E+02, 0.000000000E+00, 2.848820066E+02, 3.000000040E+02, 2.201570681E+05, 2.049418620E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451008950E+04, 1.033533252E+00, 1.745194890E+02, 0.000000000E+00, 2.848687745E+02, 3.000000048E+02, 2.201608671E+05, 2.049323429E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381038E+04, 1.033390927E+00, 1.746097134E+02, 0.000000000E+00, 2.848531267E+02, 3.000000057E+02, 2.201653594E+05, 2.049210860E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447501725E+04, 1.033226617E+00, 1.747138365E+02, 0.000000000E+00, 2.848350583E+02, 3.000000065E+02, 2.201705466E+05, 2.049080877E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445370532E+04, 1.033040277E+00, 1.748318648E+02, 0.000000000E+00, 2.848145637E+02, 3.000000074E+02, 2.201764302E+05, 2.048933441E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442986946E+04, 1.032831855E+00, 1.749638050E+02, 0.000000000E+00, 2.847916370E+02, 3.000000082E+02, 2.201830119E+05, 2.048768508E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350415E+04, 1.032601298E+00, 1.751096636E+02, 0.000000000E+00, 2.847662714E+02, 3.000000090E+02, 2.201902936E+05, 2.048586030E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460342E+04, 1.032348546E+00, 1.752694480E+02, 0.000000000E+00, 2.847384597E+02, 3.000000098E+02, 2.201982774E+05, 2.048385955E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316089E+04, 1.032073538E+00, 1.754431652E+02, 0.000000000E+00, 2.847081940E+02, 3.000000106E+02, 2.202069656E+05, 2.048168226E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430916976E+04, 1.031776208E+00, 1.756308224E+02, 0.000000000E+00, 2.846754658E+02, 3.000000114E+02, 2.202163606E+05, 2.047932782E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262289E+04, 1.031456483E+00, 1.758324265E+02, 0.000000000E+00, 2.846402662E+02, 3.000000121E+02, 2.202264650E+05, 2.047679558E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351277E+04, 1.031114291E+00, 1.760479836E+02, 0.000000000E+00, 2.846025855E+02, 3.000000129E+02, 2.202372815E+05, 2.047408487E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183164E+04, 1.030749555E+00, 1.762774996E+02, 0.000000000E+00, 2.845624140E+02, 3.000000136E+02, 2.202488130E+05, 2.047119496E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757143E+04, 1.030362194E+00, 1.765209791E+02, 0.000000000E+00, 2.845197412E+02, 3.000000143E+02, 2.202610624E+05, 2.046812511E+05
