nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455463491E+04, 1.033923360E+00, 1.742734807E+02, 0.000000000E+00, 2.849113898E+02, 2.999999932E+02, 2.201486231E+05, 2.049630000E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455028508E+04, 1.033884649E+00, 1.742964928E+02, 0.000000000E+00, 2.849074000E+02, 2.999999883E+02, 2.201497635E+05, 2.049601298E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454400618E+04, 1.033829811E+00, 1.743313738E+02, 0.000000000E+00, 2.849013534E+02, 2.999999828E+02, 2.201514936E+05, 2.049557799E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453521236E+04, 1.033752903E+00, 1.743800654E+02, 0.000000000E+00, 2.848929128E+02, 2.999999773E+02, 2.201539108E+05, 2.049497079E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452393403E+04, 1.033654292E+00, 1.744425540E+02, 0.000000000E+00, 2.848820788E+02, 2.999999718E+02, 2.201570150E+05, 2.049419139E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451015361E+04, 1.033533812E+00, 1.745189114E+02, 0.000000000E+00, 2.848688362E+02, 2.999999664E+02, 2.201608107E+05, 2.049323873E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449386385E+04, 1.033391394E+00, 1.746091595E+02, 0.000000000E+00, 2.848531782E+02, 2.999999611E+02, 2.201652998E+05, 2.049211231E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447506034E+04, 1.033226994E+00, 1.747133056E+02, 0.000000000E+00, 2.848350998E+02, 2.999999559E+02, 2.201704837E+05, 2.049081176E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445373828E+04, 1.033040565E+00, 1.748313562E+02, 0.000000000E+00, 2.848145955E+02, 2.999999508E+02, 2.201763641E+05, 2.048933670E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442989258E+04, 1.032832057E+00, 1.749633179E+02, 0.000000000E+00, 2.847916593E+02, 2.999999459E+02, 2.201829427E+05, 2.048768669E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351772E+04, 1.032601416E+00, 1.751091975E+02, 0.000000000E+00, 2.847662846E+02, 2.999999411E+02, 2.201902214E+05, 2.048586125E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460774E+04, 1.032348584E+00, 1.752690020E+02, 0.000000000E+00, 2.847384640E+02, 2.999999364E+02, 2.201982023E+05, 2.048385986E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434315628E+04, 1.032073498E+00, 1.754427387E+02, 0.000000000E+00, 2.847081897E+02, 2.999999319E+02, 2.202068877E+05, 2.048168195E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430915656E+04, 1.031776092E+00, 1.756304145E+02, 0.000000000E+00, 2.846754532E+02, 2.999999276E+02, 2.202162799E+05, 2.047932691E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427260144E+04, 1.031456295E+00, 1.758320365E+02, 0.000000000E+00, 2.846402456E+02, 2.999999235E+02, 2.202263817E+05, 2.047679411E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423348343E+04, 1.031114034E+00, 1.760476108E+02, 0.000000000E+00, 2.846025574E+02, 2.999999195E+02, 2.202371956E+05, 2.047408284E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419179475E+04, 1.030749232E+00, 1.762771432E+02, 0.000000000E+00, 2.845623786E+02, 2.999999157E+02, 2.202487246E+05, 2.047119241E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414752738E+04, 1.030361808E+00, 1.765206382E+02, 0.000000000E+00, 2.845196988E+02, 2.999999121E+02, 2.202609717E+05, 2.046812206E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410067305E+04, 1.029951680E+00, 1.767780997E+02, 0.000000000E+00, 2.844745073E+02, 2.999999087E+02, 2.202739400E+05, 2.046487102E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405122335E+04, 1.029518764E+00, 1.770495297E+02, 0.000000000E+00, 2.844267929E+02, 2.999999055E+02, 2.202876326E+05, 2.046143849E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399916972E+04, 1.029062973E+00, 1.773349292E+02, 0.000000000E+00, 2.843765443E+02, 2.999999025E+02, 2.203020528E+05, 2.045782364E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394450348E+04, 1.028584220E+00, 1.776342971E+02, 0.000000000E+00, 2.843237496E+02, 2.999998997E+02, 2.203172040E+05, 2.045402563E+05
