nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453454E+04, 1.033922479E+00, 1.742740713E+02, 0.000000000E+00, 2.849112942E+02, 2.999999999E+02, 2.201486573E+05, 2.049629313E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019511E+04, 1.033883862E+00, 1.742970581E+02, 0.000000000E+00, 2.849073136E+02, 2.999999998E+02, 2.201497998E+05, 2.049600677E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392588E+04, 1.033829109E+00, 1.743319168E+02, 0.000000000E+00, 2.849012762E+02, 2.999999997E+02, 2.201515327E+05, 2.049557244E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514165E+04, 1.033752285E+00, 1.743805866E+02, 0.000000000E+00, 2.848928448E+02, 2.999999996E+02, 2.201539527E+05, 2.049496589E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387275E+04, 1.033653757E+00, 1.744430538E+02, 0.000000000E+00, 2.848820198E+02, 2.999999995E+02, 2.201570598E+05, 2.049418715E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010156E+04, 1.033533358E+00, 1.745193906E+02, 0.000000000E+00, 2.848687861E+02, 2.999999994E+02, 2.201608583E+05, 2.049323513E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382081E+04, 1.033391018E+00, 1.746096186E+02, 0.000000000E+00, 2.848531368E+02, 2.999999993E+02, 2.201653501E+05, 2.049210933E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447502607E+04, 1.033226694E+00, 1.747137452E+02, 0.000000000E+00, 2.848350668E+02, 2.999999992E+02, 2.201705368E+05, 2.049080939E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371253E+04, 1.033040340E+00, 1.748317771E+02, 0.000000000E+00, 2.848145707E+02, 2.999999991E+02, 2.201764198E+05, 2.048933491E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442987509E+04, 1.032831904E+00, 1.749637206E+02, 0.000000000E+00, 2.847916424E+02, 2.999999990E+02, 2.201830010E+05, 2.048768547E+05
