nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453748E+04, 1.033922505E+00, 1.742740565E+02, 0.000000000E+00, 2.849112971E+02, 3.000000002E+02, 2.201486568E+05, 2.049629334E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019854E+04, 1.033883892E+00, 1.742970422E+02, 0.000000000E+00, 2.849073169E+02, 3.000000003E+02, 2.201497994E+05, 2.049600700E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392975E+04, 1.033829143E+00, 1.743318998E+02, 0.000000000E+00, 2.849012799E+02, 3.000000005E+02, 2.201515324E+05, 2.049557271E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514595E+04, 1.033752323E+00, 1.743805686E+02, 0.000000000E+00, 2.848928490E+02, 3.000000006E+02, 2.201539526E+05, 2.049496619E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387749E+04, 1.033653798E+00, 1.744430348E+02, 0.000000000E+00, 2.848820244E+02, 3.000000008E+02, 2.201570598E+05, 2.049418748E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010671E+04, 1.033533403E+00, 1.745193707E+02, 0.000000000E+00, 2.848687910E+02, 3.000000009E+02, 2.201608584E+05, 2.049323548E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382636E+04, 1.033391066E+00, 1.746095978E+02, 0.000000000E+00, 2.848531421E+02, 3.000000010E+02, 2.201653503E+05, 2.049210971E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503199E+04, 1.033226746E+00, 1.747137235E+02, 0.000000000E+00, 2.848350725E+02, 3.000000011E+02, 2.201705371E+05, 2.049080980E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371882E+04, 1.033040395E+00, 1.748317545E+02, 0.000000000E+00, 2.848145767E+02, 3.000000012E+02, 2.201764202E+05, 2.048933535E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988172E+04, 1.032831962E+00, 1.749636973E+02, 0.000000000E+00, 2.847916488E+02, 3.000000013E+02, 2.201830015E+05, 2.048768593E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351518E+04, 1.032601394E+00, 1.751095586E+02, 0.000000000E+00, 2.847662820E+02, 3.000000014E+02, 2.201902828E+05, 2.048586107E+05
