nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455452747E+04, 1.033922417E+00, 1.742741106E+02, 0.000000000E+00, 2.849112874E+02, 2.999999999E+02, 2.201486593E+05, 2.049629264E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455018807E+04, 1.033883801E+00, 1.742970973E+02, 0.000000000E+00, 2.849073068E+02, 2.999999998E+02, 2.201498018E+05, 2.049600628E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454391891E+04, 1.033829048E+00, 1.743319559E+02, 0.000000000E+00, 2.849012695E+02, 2.999999998E+02, 2.201515347E+05, 2.049557196E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453513479E+04, 1.033752225E+00, 1.743806255E+02, 0.000000000E+00, 2.848928382E+02, 2.999999997E+02, 2.201539548E+05, 2.049496542E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452386603E+04, 1.033653698E+00, 1.744430924E+02, 0.000000000E+00, 2.848820134E+02, 2.999999997E+02, 2.201570619E+05, 2.049418669E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451009502E+04, 1.033533300E+00, 1.745194289E+02, 0.000000000E+00, 2.848687798E+02, 2.999999997E+02, 2.201608604E+05, 2.049323468E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381446E+04, 1.033390962E+00, 1.746096566E+02, 0.000000000E+00, 2.848531307E+02, 2.999999998E+02, 2.201653524E+05, 2.049210889E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447501995E+04, 1.033226641E+00, 1.747137828E+02, 0.000000000E+00, 2.848350609E+02, 2.999999998E+02, 2.201705391E+05, 2.049080896E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445370667E+04, 1.033040288E+00, 1.748318141E+02, 0.000000000E+00, 2.848145650E+02, 2.999999999E+02, 2.201764223E+05, 2.048933451E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442986951E+04, 1.032831855E+00, 1.749637572E+02, 0.000000000E+00, 2.847916370E+02, 3.000000000E+02, 2.201830035E+05, 2.048768509E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350295E+04, 1.032601287E+00, 1.751096187E+02, 0.000000000E+00, 2.847662703E+02, 3.000000001E+02, 2.201902849E+05, 2.048586022E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460103E+04, 1.032348525E+00, 1.752694057E+02, 0.000000000E+00, 2.847384574E+02, 3.000000002E+02, 2.201982683E+05, 2.048385939E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434315736E+04, 1.032073507E+00, 1.754431255E+02, 0.000000000E+00, 2.847081906E+02, 3.000000003E+02, 2.202069562E+05, 2.048168202E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430916517E+04, 1.031776167E+00, 1.756307852E+02, 0.000000000E+00, 2.846754614E+02, 3.000000005E+02, 2.202163509E+05, 2.047932750E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427261729E+04, 1.031456434E+00, 1.758323915E+02, 0.000000000E+00, 2.846402608E+02, 3.000000007E+02, 2.202264550E+05, 2.047679520E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423350624E+04, 1.031114234E+00, 1.760479509E+02, 0.000000000E+00, 2.846025793E+02, 3.000000009E+02, 2.202372712E+05, 2.047408442E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419182424E+04, 1.030749490E+00, 1.762774689E+02, 0.000000000E+00, 2.845624069E+02, 3.000000011E+02, 2.202488025E+05, 2.047119445E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414756325E+04, 1.030362122E+00, 1.765209503E+02, 0.000000000E+00, 2.845197333E+02, 3.000000014E+02, 2.202610516E+05, 2.046812455E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410071501E+04, 1.029952048E+00, 1.767783987E+02, 0.000000000E+00, 2.844745477E+02, 3.000000016E+02, 2.202740219E+05, 2.046487393E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405127109E+04, 1.029519183E+00, 1.770498163E+02, 0.000000000E+00, 2.844268389E+02, 3.000000019E+02, 2.202877164E+05, 2.046144180E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399922293E+04, 1.029063440E+00, 1.773352040E+02, 0.000000000E+00, 2.843765956E+02, 3.000000022E+02, 2.203021384E+05, 2.045782733E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394456186E+04, 1.028584731E+00, 1.776345607E+02, 0.000000000E+00, 2.843238059E+02, 3.000000025E+02, 2.203172914E+05, 2.045402969E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388727916E+04, 1.028082968E+00, 1.779478838E+02, 0.000000000E+00, 2.842684580E+02, 3.000000029E+02, 2.203331787E+05, 2.045004800E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382736606E+04, 1.027558059E+00, 1.782751685E+02, 0.000000000E+00, 2.842105395E+02, 3.000000032E+02, 2.203498038E+05, 2.044588139E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376481380E+04, 1.027009914E+00, 1.786164080E+02, 0.000000000E+00, 2.841500382E+02, 3.000000036E+02, 2.203671704E+05, 2.044152897E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369961363E+04, 1.026438441E+00, 1.789715933E+02, 0.000000000E+00, 2.840869413E+02, 3.000000040E+02, 2.203852820E+05, 2.043698983E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363175685E+04, 1.025843549E+00, 1.793407131E+02, 0.000000000E+00, 2.840212362E+02, 3.000000044E+02, 2.204041422E+05, 2.043226306E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356123477E+04, 1.025225144E+00, 1.797237539E+02, 0.000000000E+00, 2.839529099E+02, 3.000000048E+02, 2.204237549E+05, 2.042734772E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348803881E+04, 1.024583135E+00, 1.801207000E+02, 0.000000000E+00, 2.838819493E+02, 3.000000052E+02, 2.204441237E+05, 2.042224287E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216042E+04, 1.023917429E+00, 1.805315333E+02, 0.000000000E+00, 2.838083413E+02, 3.000000056E+02, 2.204652524E+05, 2.041694757E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359109E+04, 1.023227932E+00, 1.809562338E+02, 0.000000000E+00, 2.837320723E+02, 3.000000061E+02, 2.204871450E+05, 2.041146084E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232240E+04, 1.022514552E+00, 1.813947792E+02, 0.000000000E+00, 2.836531289E+02, 3.000000066E+02, 2.205098052E+05, 2.040578171E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316834592E+04, 1.021777193E+00, 1.818471457E+02, 0.000000000E+00, 2.835714973E+02, 3.000000070E+02, 2.205332371E+05, 2.039990919E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308165325E+04, 1.021015763E+00, 1.823133073E+02, 0.000000000E+00, 2.834871634E+02, 3.000000075E+02, 2.205574445E+05, 2.039384229E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299223597E+04, 1.020230164E+00, 1.827932371E+02, 0.000000000E+00, 2.834001132E+02, 3.000000080E+02, 2.205824318E+05, 2.038757996E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290008560E+04, 1.019420301E+00, 1.832869063E+02, 0.000000000E+00, 2.833103320E+02, 3.000000085E+02, 2.206082029E+05, 2.038112117E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280519359E+04, 1.018586074E+00, 1.837942856E+02, 0.000000000E+00, 2.832178051E+02, 3.000000090E+02, 2.206347621E+05, 2.037446486E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270755124E+04, 1.017727384E+00, 1.843153447E+02, 0.000000000E+00, 2.831225172E+02, 3.000000096E+02, 2.206621139E+05, 2.036760992E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260714969E+04, 1.016844127E+00, 1.848500529E+02, 0.000000000E+00, 2.830244527E+02, 3.000000101E+02, 2.206902626E+05, 2.036055524E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250397987E+04, 1.015936198E+00, 1.853983794E+02, 0.000000000E+00, 2.829235956E+02, 3.000000106E+02, 2.207192130E+05, 2.035329966E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239803242E+04, 1.015003488E+00, 1.859602936E+02, 0.000000000E+00, 2.828199292E+02, 3.000000112E+02, 2.207489697E+05, 2.034584199E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228929767E+04, 1.014045884E+00, 1.865357654E+02, 0.000000000E+00, 2.827134364E+02, 3.000000117E+02, 2.207795377E+05, 2.033818098E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217776558E+04, 1.013063270E+00, 1.871247656E+02, 0.000000000E+00, 2.826040994E+02, 3.000000123E+02, 2.208109222E+05, 2.033031536E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206342566E+04, 1.012055523E+00, 1.877272661E+02, 0.000000000E+00, 2.824918996E+02, 3.000000128E+02, 2.208431283E+05, 2.032224379E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194626697E+04, 1.011022518E+00, 1.883432402E+02, 0.000000000E+00, 2.823768178E+02, 3.000000134E+02, 2.208761617E+05, 2.031396490E+05
        46, 1.370212766E-01, 0.000000000E+00, 8.182627801E+04, 1.009964120E+00, 1.889726632E+02, 0.000000000E+00, 2.822588339E+02, 3.000000139E+02, 2.209100281E+05, 2.030547723E+05
        47, 1.400000000E-01, 0.000000000E+00, 8.170344670E+04, 1.008880193E+00, 1.896155124E+02, 0.000000000E+00, 2.821379270E+02, 3.000000145E+02, 2.209447336E+05, 2.029677928E+05
        48, 1.429787234E-01, 0.000000000E+00, 8.157776034E+04, 1.007770590E+00, 1.902717672E+02, 0.000000000E+00, 2.820140751E+02, 3.000000150E+02, 2.209802843E+05, 2.028786948E+05
