nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455457269E+04, 1.033922813E+00, 1.742738512E+02, 0.000000000E+00, 2.849113307E+02, 2.999999983E+02, 2.201486452E+05, 2.049629576E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455023053E+04, 1.033884172E+00, 1.742968445E+02, 0.000000000E+00, 2.849073477E+02, 2.999999969E+02, 2.201497871E+05, 2.049600922E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454395845E+04, 1.033829393E+00, 1.743317095E+02, 0.000000000E+00, 2.849013075E+02, 2.999999951E+02, 2.201515191E+05, 2.049557470E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453517116E+04, 1.033752543E+00, 1.743803859E+02, 0.000000000E+00, 2.848928732E+02, 2.999999932E+02, 2.201539382E+05, 2.049496794E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452389902E+04, 1.033653986E+00, 1.744428600E+02, 0.000000000E+00, 2.848820451E+02, 2.999999912E+02, 2.201570442E+05, 2.049418897E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451012442E+04, 1.033533557E+00, 1.745192040E+02, 0.000000000E+00, 2.848688081E+02, 2.999999890E+02, 2.201608415E+05, 2.049323671E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449384009E+04, 1.033391186E+00, 1.746094394E+02, 0.000000000E+00, 2.848531553E+02, 2.999999868E+02, 2.201653322E+05, 2.049211066E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447504162E+04, 1.033226830E+00, 1.747135737E+02, 0.000000000E+00, 2.848350818E+02, 2.999999844E+02, 2.201705176E+05, 2.049081046E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445372421E+04, 1.033040442E+00, 1.748316133E+02, 0.000000000E+00, 2.848145819E+02, 2.999999819E+02, 2.201763993E+05, 2.048933572E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988276E+04, 1.032831971E+00, 1.749635648E+02, 0.000000000E+00, 2.847916498E+02, 2.999999793E+02, 2.201829791E+05, 2.048768600E+05
