nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455451530E+04, 1.033922311E+00, 1.742741833E+02, 0.000000000E+00, 2.849112759E+02, 3.000000009E+02, 2.201486636E+05, 2.049629181E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455017753E+04, 1.033883708E+00, 1.742971662E+02, 0.000000000E+00, 2.849072967E+02, 3.000000016E+02, 2.201498065E+05, 2.049600555E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454390990E+04, 1.033828969E+00, 1.743320211E+02, 0.000000000E+00, 2.849012608E+02, 3.000000024E+02, 2.201515398E+05, 2.049557134E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453512729E+04, 1.033752160E+00, 1.743806873E+02, 0.000000000E+00, 2.848928310E+02, 3.000000032E+02, 2.201539603E+05, 2.049496490E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452386003E+04, 1.033653646E+00, 1.744431508E+02, 0.000000000E+00, 2.848820076E+02, 3.000000041E+02, 2.201570679E+05, 2.049418627E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451009046E+04, 1.033533261E+00, 1.745194840E+02, 0.000000000E+00, 2.848687754E+02, 3.000000049E+02, 2.201608669E+05, 2.049323436E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381132E+04, 1.033390935E+00, 1.746097085E+02, 0.000000000E+00, 2.848531276E+02, 3.000000057E+02, 2.201653592E+05, 2.049210867E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447501816E+04, 1.033226625E+00, 1.747138316E+02, 0.000000000E+00, 2.848350591E+02, 3.000000065E+02, 2.201705464E+05, 2.049080884E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445370619E+04, 1.033040284E+00, 1.748318600E+02, 0.000000000E+00, 2.848145645E+02, 3.000000073E+02, 2.201764299E+05, 2.048933447E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442987028E+04, 1.032831862E+00, 1.749638002E+02, 0.000000000E+00, 2.847916378E+02, 3.000000081E+02, 2.201830116E+05, 2.048768514E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350492E+04, 1.032601304E+00, 1.751096589E+02, 0.000000000E+00, 2.847662721E+02, 3.000000089E+02, 2.201902933E+05, 2.048586035E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460412E+04, 1.032348552E+00, 1.752694434E+02, 0.000000000E+00, 2.847384604E+02, 3.000000097E+02, 2.201982771E+05, 2.048385960E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316150E+04, 1.032073544E+00, 1.754431608E+02, 0.000000000E+00, 2.847081946E+02, 3.000000104E+02, 2.202069652E+05, 2.048168230E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917029E+04, 1.031776212E+00, 1.756308181E+02, 0.000000000E+00, 2.846754663E+02, 3.000000111E+02, 2.202163602E+05, 2.047932786E+05
