nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455452984E+04, 1.033922438E+00, 1.742740981E+02, 0.000000000E+00, 2.849112898E+02, 3.000000000E+02, 2.201486588E+05, 2.049629281E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019061E+04, 1.033883823E+00, 1.742970844E+02, 0.000000000E+00, 2.849073093E+02, 3.000000000E+02, 2.201498013E+05, 2.049600646E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392151E+04, 1.033829071E+00, 1.743319427E+02, 0.000000000E+00, 2.849012720E+02, 3.000000000E+02, 2.201515342E+05, 2.049557214E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453513739E+04, 1.033752248E+00, 1.743806122E+02, 0.000000000E+00, 2.848928407E+02, 3.000000000E+02, 2.201539543E+05, 2.049496560E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452386856E+04, 1.033653720E+00, 1.744430792E+02, 0.000000000E+00, 2.848820158E+02, 2.999999999E+02, 2.201570613E+05, 2.049418686E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451009741E+04, 1.033533321E+00, 1.745194159E+02, 0.000000000E+00, 2.848687821E+02, 2.999999998E+02, 2.201608598E+05, 2.049323484E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381666E+04, 1.033390982E+00, 1.746096438E+02, 0.000000000E+00, 2.848531328E+02, 2.999999997E+02, 2.201653517E+05, 2.049210904E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447502189E+04, 1.033226658E+00, 1.747137704E+02, 0.000000000E+00, 2.848350628E+02, 2.999999995E+02, 2.201705383E+05, 2.049080910E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445370829E+04, 1.033040303E+00, 1.748318023E+02, 0.000000000E+00, 2.848145666E+02, 2.999999994E+02, 2.201764213E+05, 2.048933462E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442987076E+04, 1.032831866E+00, 1.749637459E+02, 0.000000000E+00, 2.847916383E+02, 2.999999992E+02, 2.201830025E+05, 2.048768517E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350378E+04, 1.032601294E+00, 1.751096082E+02, 0.000000000E+00, 2.847662711E+02, 2.999999990E+02, 2.201902836E+05, 2.048586028E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460138E+04, 1.032348528E+00, 1.752693960E+02, 0.000000000E+00, 2.847384578E+02, 2.999999988E+02, 2.201982669E+05, 2.048385941E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434315719E+04, 1.032073506E+00, 1.754431167E+02, 0.000000000E+00, 2.847081905E+02, 2.999999986E+02, 2.202069545E+05, 2.048168200E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430916442E+04, 1.031776161E+00, 1.756307773E+02, 0.000000000E+00, 2.846754607E+02, 2.999999984E+02, 2.202163490E+05, 2.047932745E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427261593E+04, 1.031456422E+00, 1.758323847E+02, 0.000000000E+00, 2.846402595E+02, 2.999999982E+02, 2.202264529E+05, 2.047679510E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423350422E+04, 1.031114216E+00, 1.760479452E+02, 0.000000000E+00, 2.846025773E+02, 2.999999979E+02, 2.202372688E+05, 2.047408428E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419182152E+04, 1.030749466E+00, 1.762774644E+02, 0.000000000E+00, 2.845624043E+02, 2.999999977E+02, 2.202487998E+05, 2.047119426E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414755979E+04, 1.030362092E+00, 1.765209471E+02, 0.000000000E+00, 2.845197300E+02, 2.999999974E+02, 2.202610487E+05, 2.046812431E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410071079E+04, 1.029952011E+00, 1.767783967E+02, 0.000000000E+00, 2.844745436E+02, 2.999999972E+02, 2.202740186E+05, 2.046487363E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405126607E+04, 1.029519139E+00, 1.770498157E+02, 0.000000000E+00, 2.844268341E+02, 2.999999969E+02, 2.202877128E+05, 2.046144145E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399921709E+04, 1.029063389E+00, 1.773352047E+02, 0.000000000E+00, 2.843765899E+02, 2.999999967E+02, 2.203021345E+05, 2.045782692E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394455517E+04, 1.028584672E+00, 1.776345629E+02, 0.000000000E+00, 2.843237994E+02, 2.999999964E+02, 2.203172871E+05, 2.045402922E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388727159E+04, 1.028082901E+00, 1.779478875E+02, 0.000000000E+00, 2.842684507E+02, 2.999999962E+02, 2.203331741E+05, 2.045004747E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382735759E+04, 1.027557985E+00, 1.782751737E+02, 0.000000000E+00, 2.842105313E+02, 2.999999959E+02, 2.203497989E+05, 2.044588080E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376480442E+04, 1.027009832E+00, 1.786164147E+02, 0.000000000E+00, 2.841500291E+02, 2.999999957E+02, 2.203671650E+05, 2.044152832E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369960332E+04, 1.026438351E+00, 1.789716016E+02, 0.000000000E+00, 2.840869313E+02, 2.999999954E+02, 2.203852762E+05, 2.043698911E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363174559E+04, 1.025843450E+00, 1.793407229E+02, 0.000000000E+00, 2.840212253E+02, 2.999999952E+02, 2.204041361E+05, 2.043226227E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356122256E+04, 1.025225037E+00, 1.797237653E+02, 0.000000000E+00, 2.839528980E+02, 2.999999950E+02, 2.204237484E+05, 2.042734687E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348802563E+04, 1.024583020E+00, 1.801207130E+02, 0.000000000E+00, 2.838819365E+02, 2.999999947E+02, 2.204441168E+05, 2.042224195E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341214627E+04, 1.023917305E+00, 1.805315479E+02, 0.000000000E+00, 2.838083275E+02, 2.999999945E+02, 2.204652452E+05, 2.041694658E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333357597E+04, 1.023227800E+00, 1.809562500E+02, 0.000000000E+00, 2.837320576E+02, 2.999999943E+02, 2.204871373E+05, 2.041145978E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325230630E+04, 1.022514410E+00, 1.813947970E+02, 0.000000000E+00, 2.836531132E+02, 2.999999941E+02, 2.205097972E+05, 2.040578058E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316832885E+04, 1.021777044E+00, 1.818471651E+02, 0.000000000E+00, 2.835714806E+02, 2.999999939E+02, 2.205332286E+05, 2.039990800E+05
        34, 1.012765957E-01, 0.000000000E+00, 8.308163521E+04, 1.021015604E+00, 1.823133283E+02, 0.000000000E+00, 2.834871459E+02, 2.999999938E+02, 2.205574357E+05, 2.039384102E+05
        35, 1.042553191E-01, 0.000000000E+00, 8.299221696E+04, 1.020229997E+00, 1.827932596E+02, 0.000000000E+00, 2.834000947E+02, 2.999999936E+02, 2.205824226E+05, 2.038757863E+05
        36, 1.072340426E-01, 0.000000000E+00, 8.290006564E+04, 1.019420125E+00, 1.832869305E+02, 0.000000000E+00, 2.833103125E+02, 2.999999935E+02, 2.206081933E+05, 2.038111977E+05
        37, 1.102127660E-01, 0.000000000E+00, 8.280517267E+04, 1.018585890E+00, 1.837943113E+02, 0.000000000E+00, 2.832177847E+02, 2.999999933E+02, 2.206347522E+05, 2.037446339E+05
        38, 1.131914894E-01, 0.000000000E+00, 8.270752938E+04, 1.017727192E+00, 1.843153719E+02, 0.000000000E+00, 2.831224958E+02, 2.999999932E+02, 2.206621036E+05, 2.036760839E+05
        39, 1.161702128E-01, 0.000000000E+00, 8.260712691E+04, 1.016843927E+00, 1.848500816E+02, 0.000000000E+00, 2.830244304E+02, 2.999999931E+02, 2.206902520E+05, 2.036055364E+05
        40, 1.191489362E-01, 0.000000000E+00, 8.250395618E+04, 1.015935990E+00, 1.853984097E+02, 0.000000000E+00, 2.829235724E+02, 2.999999930E+02, 2.207192019E+05, 2.035329800E+05
        41, 1.221276596E-01, 0.000000000E+00, 8.239800784E+04, 1.015003271E+00, 1.859603253E+02, 0.000000000E+00, 2.828199052E+02, 2.999999930E+02, 2.207489583E+05, 2.034584025E+05
        42, 1.251063830E-01, 0.000000000E+00, 8.228927222E+04, 1.014045660E+00, 1.865357986E+02, 0.000000000E+00, 2.827134115E+02, 2.999999929E+02, 2.207795260E+05, 2.033817918E+05
        43, 1.280851064E-01, 0.000000000E+00, 8.217773927E+04, 1.013063038E+00, 1.871248002E+02, 0.000000000E+00, 2.826040736E+02, 2.999999929E+02, 2.208109101E+05, 2.033031350E+05
        44, 1.310638298E-01, 0.000000000E+00, 8.206339853E+04, 1.012055284E+00, 1.877273020E+02, 0.000000000E+00, 2.824918730E+02, 2.999999929E+02, 2.208431159E+05, 2.032224188E+05
        45, 1.340425532E-01, 0.000000000E+00, 8.194623903E+04, 1.011022271E+00, 1.883432775E+02, 0.000000000E+00, 2.823767904E+02, 2.999999929E+02, 2.208761490E+05, 2.031396293E+05
