nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453928E+04, 1.033922521E+00, 1.742740455E+02, 0.000000000E+00, 2.849112988E+02, 3.000000000E+02, 2.201486561E+05, 2.049629346E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455020002E+04, 1.033883905E+00, 1.742970319E+02, 0.000000000E+00, 2.849073183E+02, 3.000000000E+02, 2.201497987E+05, 2.049600711E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393095E+04, 1.033829153E+00, 1.743318902E+02, 0.000000000E+00, 2.849012811E+02, 3.000000000E+02, 2.201515316E+05, 2.049557279E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514688E+04, 1.033752331E+00, 1.743805596E+02, 0.000000000E+00, 2.848928499E+02, 3.000000000E+02, 2.201539516E+05, 2.049496626E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387816E+04, 1.033653804E+00, 1.744430265E+02, 0.000000000E+00, 2.848820250E+02, 3.000000000E+02, 2.201570588E+05, 2.049418753E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010714E+04, 1.033533406E+00, 1.745193629E+02, 0.000000000E+00, 2.848687915E+02, 2.999999999E+02, 2.201608573E+05, 2.049323551E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382656E+04, 1.033391068E+00, 1.746095905E+02, 0.000000000E+00, 2.848531423E+02, 2.999999999E+02, 2.201653492E+05, 2.049210972E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503198E+04, 1.033226746E+00, 1.747137168E+02, 0.000000000E+00, 2.848350725E+02, 2.999999999E+02, 2.201705359E+05, 2.049080980E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371860E+04, 1.033040393E+00, 1.748317482E+02, 0.000000000E+00, 2.848145765E+02, 2.999999999E+02, 2.201764190E+05, 2.048933533E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988133E+04, 1.032831959E+00, 1.749636914E+02, 0.000000000E+00, 2.847916484E+02, 2.999999999E+02, 2.201830002E+05, 2.048768590E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351461E+04, 1.032601389E+00, 1.751095531E+02, 0.000000000E+00, 2.847662815E+02, 2.999999999E+02, 2.201902815E+05, 2.048586103E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461251E+04, 1.032348626E+00, 1.752693404E+02, 0.000000000E+00, 2.847384685E+02, 2.999999999E+02, 2.201982648E+05, 2.048386018E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316863E+04, 1.032073606E+00, 1.754430606E+02, 0.000000000E+00, 2.847082015E+02, 2.999999998E+02, 2.202069526E+05, 2.048168280E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917619E+04, 1.031776264E+00, 1.756307206E+02, 0.000000000E+00, 2.846754720E+02, 2.999999998E+02, 2.202163472E+05, 2.047932827E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262804E+04, 1.031456528E+00, 1.758323273E+02, 0.000000000E+00, 2.846402711E+02, 2.999999998E+02, 2.202264512E+05, 2.047679594E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351669E+04, 1.031114325E+00, 1.760478872E+02, 0.000000000E+00, 2.846025893E+02, 2.999999998E+02, 2.202372672E+05, 2.047408514E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183436E+04, 1.030749579E+00, 1.762774057E+02, 0.000000000E+00, 2.845624166E+02, 2.999999998E+02, 2.202487983E+05, 2.047119515E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757300E+04, 1.030362208E+00, 1.765208876E+02, 0.000000000E+00, 2.845197427E+02, 2.999999998E+02, 2.202610473E+05, 2.046812522E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072438E+04, 1.029952130E+00, 1.767783366E+02, 0.000000000E+00, 2.844745567E+02, 2.999999997E+02, 2.202740174E+05, 2.046487458E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128005E+04, 1.029519261E+00, 1.770497548E+02, 0.000000000E+00, 2.844268476E+02, 2.999999997E+02, 2.202877117E+05, 2.046144242E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923146E+04, 1.029063514E+00, 1.773351432E+02, 0.000000000E+00, 2.843766038E+02, 2.999999997E+02, 2.203021336E+05, 2.045782792E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394456993E+04, 1.028584802E+00, 1.776345006E+02, 0.000000000E+00, 2.843238137E+02, 2.999999997E+02, 2.203172863E+05, 2.045403025E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728674E+04, 1.028083034E+00, 1.779478245E+02, 0.000000000E+00, 2.842684653E+02, 2.999999997E+02, 2.203331734E+05, 2.045004853E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737313E+04, 1.027558121E+00, 1.782751099E+02, 0.000000000E+00, 2.842105464E+02, 2.999999997E+02, 2.203497983E+05, 2.044588188E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482035E+04, 1.027009971E+00, 1.786163502E+02, 0.000000000E+00, 2.841500445E+02, 2.999999997E+02, 2.203671646E+05, 2.044152943E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369961963E+04, 1.026438494E+00, 1.789715364E+02, 0.000000000E+00, 2.840869471E+02, 2.999999996E+02, 2.203852759E+05, 2.043699025E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176227E+04, 1.025843597E+00, 1.793406570E+02, 0.000000000E+00, 2.840212415E+02, 2.999999996E+02, 2.204041359E+05, 2.043226344E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356123962E+04, 1.025225187E+00, 1.797236987E+02, 0.000000000E+00, 2.839529146E+02, 2.999999996E+02, 2.204237483E+05, 2.042734806E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804305E+04, 1.024583173E+00, 1.801206457E+02, 0.000000000E+00, 2.838819534E+02, 2.999999996E+02, 2.204441169E+05, 2.042224317E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216403E+04, 1.023917461E+00, 1.805314800E+02, 0.000000000E+00, 2.838083448E+02, 2.999999996E+02, 2.204652453E+05, 2.041694782E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359407E+04, 1.023227958E+00, 1.809561814E+02, 0.000000000E+00, 2.837320752E+02, 2.999999996E+02, 2.204871376E+05, 2.041146104E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232472E+04, 1.022514572E+00, 1.813947278E+02, 0.000000000E+00, 2.836531311E+02, 2.999999995E+02, 2.205097975E+05, 2.040578187E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316834757E+04, 1.021777208E+00, 1.818470952E+02, 0.000000000E+00, 2.835714989E+02, 2.999999995E+02, 2.205332290E+05, 2.039990931E+05
