nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455452719E+04, 1.033922415E+00, 1.742741154E+02, 0.000000000E+00, 2.849112873E+02, 3.000000006E+02, 2.201486600E+05, 2.049629263E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455018879E+04, 1.033883807E+00, 1.742970997E+02, 0.000000000E+00, 2.849073075E+02, 3.000000009E+02, 2.201498027E+05, 2.049600633E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454392048E+04, 1.033829062E+00, 1.743319562E+02, 0.000000000E+00, 2.849012710E+02, 3.000000014E+02, 2.201515358E+05, 2.049557207E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453513714E+04, 1.033752246E+00, 1.743806240E+02, 0.000000000E+00, 2.848928405E+02, 3.000000017E+02, 2.201539561E+05, 2.049496558E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452386910E+04, 1.033653725E+00, 1.744430892E+02, 0.000000000E+00, 2.848820163E+02, 3.000000021E+02, 2.201570634E+05, 2.049418690E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451009872E+04, 1.033533333E+00, 1.745194241E+02, 0.000000000E+00, 2.848687834E+02, 3.000000025E+02, 2.201608622E+05, 2.049323493E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449381873E+04, 1.033391000E+00, 1.746096504E+02, 0.000000000E+00, 2.848531348E+02, 3.000000028E+02, 2.201653542E+05, 2.049210918E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447502470E+04, 1.033226682E+00, 1.747137753E+02, 0.000000000E+00, 2.848350654E+02, 3.000000031E+02, 2.201705411E+05, 2.049080929E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371182E+04, 1.033040334E+00, 1.748318056E+02, 0.000000000E+00, 2.848145700E+02, 3.000000033E+02, 2.201764243E+05, 2.048933486E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442987499E+04, 1.032831903E+00, 1.749637477E+02, 0.000000000E+00, 2.847916423E+02, 3.000000036E+02, 2.201830057E+05, 2.048768546E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440350868E+04, 1.032601337E+00, 1.751096084E+02, 0.000000000E+00, 2.847662758E+02, 3.000000038E+02, 2.201902870E+05, 2.048586062E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437460693E+04, 1.032348577E+00, 1.752693948E+02, 0.000000000E+00, 2.847384631E+02, 3.000000040E+02, 2.201982705E+05, 2.048385979E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316336E+04, 1.032073560E+00, 1.754431141E+02, 0.000000000E+00, 2.847081964E+02, 3.000000041E+02, 2.202069583E+05, 2.048168243E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917118E+04, 1.031776220E+00, 1.756307734E+02, 0.000000000E+00, 2.846754672E+02, 3.000000042E+02, 2.202163530E+05, 2.047932792E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262325E+04, 1.031456486E+00, 1.758323795E+02, 0.000000000E+00, 2.846402665E+02, 3.000000043E+02, 2.202264570E+05, 2.047679561E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351207E+04, 1.031114285E+00, 1.760479388E+02, 0.000000000E+00, 2.846025849E+02, 3.000000044E+02, 2.202372731E+05, 2.047408482E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419182987E+04, 1.030749539E+00, 1.762774569E+02, 0.000000000E+00, 2.845624123E+02, 3.000000044E+02, 2.202488042E+05, 2.047119484E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414756860E+04, 1.030362169E+00, 1.765209385E+02, 0.000000000E+00, 2.845197384E+02, 3.000000044E+02, 2.202610532E+05, 2.046812492E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072001E+04, 1.029952092E+00, 1.767783871E+02, 0.000000000E+00, 2.844745525E+02, 3.000000044E+02, 2.202740233E+05, 2.046487427E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405127568E+04, 1.029519223E+00, 1.770498051E+02, 0.000000000E+00, 2.844268433E+02, 3.000000044E+02, 2.202877176E+05, 2.046144211E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399922704E+04, 1.029063476E+00, 1.773351933E+02, 0.000000000E+00, 2.843765995E+02, 3.000000043E+02, 2.203021394E+05, 2.045782762E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394456543E+04, 1.028584762E+00, 1.776345507E+02, 0.000000000E+00, 2.843238094E+02, 3.000000042E+02, 2.203172921E+05, 2.045402993E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728211E+04, 1.028082994E+00, 1.779478746E+02, 0.000000000E+00, 2.842684608E+02, 3.000000041E+02, 2.203331791E+05, 2.045004820E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382736834E+04, 1.027558079E+00, 1.782751601E+02, 0.000000000E+00, 2.842105417E+02, 3.000000039E+02, 2.203498039E+05, 2.044588155E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376481535E+04, 1.027009928E+00, 1.786164006E+02, 0.000000000E+00, 2.841500397E+02, 3.000000037E+02, 2.203671701E+05, 2.044152908E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369961440E+04, 1.026438448E+00, 1.789715869E+02, 0.000000000E+00, 2.840869421E+02, 3.000000035E+02, 2.203852813E+05, 2.043698989E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363175677E+04, 1.025843548E+00, 1.793407078E+02, 0.000000000E+00, 2.840212361E+02, 3.000000033E+02, 2.204041412E+05, 2.043226305E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356123380E+04, 1.025225136E+00, 1.797237498E+02, 0.000000000E+00, 2.839529089E+02, 3.000000031E+02, 2.204237535E+05, 2.042734765E+05
