nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453878E+04, 1.033922516E+00, 1.742740483E+02, 0.000000000E+00, 2.849112983E+02, 3.000000000E+02, 2.201486563E+05, 2.049629342E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019956E+04, 1.033883901E+00, 1.742970347E+02, 0.000000000E+00, 2.849073179E+02, 3.000000000E+02, 2.201497988E+05, 2.049600707E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393053E+04, 1.033829150E+00, 1.743318929E+02, 0.000000000E+00, 2.849012807E+02, 3.000000000E+02, 2.201515317E+05, 2.049557276E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514651E+04, 1.033752328E+00, 1.743805622E+02, 0.000000000E+00, 2.848928495E+02, 3.000000001E+02, 2.201539518E+05, 2.049496623E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387784E+04, 1.033653801E+00, 1.744430289E+02, 0.000000000E+00, 2.848820247E+02, 3.000000001E+02, 2.201570590E+05, 2.049418750E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010689E+04, 1.033533404E+00, 1.745193652E+02, 0.000000000E+00, 2.848687912E+02, 3.000000001E+02, 2.201608575E+05, 2.049323550E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382637E+04, 1.033391066E+00, 1.746095927E+02, 0.000000000E+00, 2.848531421E+02, 3.000000001E+02, 2.201653494E+05, 2.049210971E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503187E+04, 1.033226745E+00, 1.747137188E+02, 0.000000000E+00, 2.848350723E+02, 3.000000002E+02, 2.201705362E+05, 2.049080979E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371858E+04, 1.033040393E+00, 1.748317501E+02, 0.000000000E+00, 2.848145765E+02, 3.000000002E+02, 2.201764193E+05, 2.048933533E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988138E+04, 1.032831959E+00, 1.749636932E+02, 0.000000000E+00, 2.847916485E+02, 3.000000002E+02, 2.201830006E+05, 2.048768591E+05
