nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453957E+04, 1.033922523E+00, 1.742740440E+02, 0.000000000E+00, 2.849112991E+02, 3.000000000E+02, 2.201486561E+05, 2.049629348E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455020035E+04, 1.033883908E+00, 1.742970303E+02, 0.000000000E+00, 2.849073186E+02, 3.000000000E+02, 2.201497986E+05, 2.049600713E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393130E+04, 1.033829156E+00, 1.743318886E+02, 0.000000000E+00, 2.849012814E+02, 3.000000000E+02, 2.201515315E+05, 2.049557282E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514726E+04, 1.033752334E+00, 1.743805579E+02, 0.000000000E+00, 2.848928502E+02, 3.000000000E+02, 2.201539516E+05, 2.049496628E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387854E+04, 1.033653807E+00, 1.744430247E+02, 0.000000000E+00, 2.848820254E+02, 3.000000000E+02, 2.201570587E+05, 2.049418755E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010753E+04, 1.033533410E+00, 1.745193611E+02, 0.000000000E+00, 2.848687918E+02, 3.000000000E+02, 2.201608573E+05, 2.049323554E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382694E+04, 1.033391071E+00, 1.746095888E+02, 0.000000000E+00, 2.848531427E+02, 3.000000000E+02, 2.201653491E+05, 2.049210975E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503235E+04, 1.033226749E+00, 1.747137150E+02, 0.000000000E+00, 2.848350728E+02, 3.000000000E+02, 2.201705359E+05, 2.049080982E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371896E+04, 1.033040396E+00, 1.748317465E+02, 0.000000000E+00, 2.848145769E+02, 2.999999999E+02, 2.201764189E+05, 2.048933536E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988166E+04, 1.032831962E+00, 1.749636897E+02, 0.000000000E+00, 2.847916487E+02, 2.999999999E+02, 2.201830002E+05, 2.048768593E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351492E+04, 1.032601392E+00, 1.751095515E+02, 0.000000000E+00, 2.847662818E+02, 2.999999999E+02, 2.201902814E+05, 2.048586105E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461278E+04, 1.032348628E+00, 1.752693388E+02, 0.000000000E+00, 2.847384687E+02, 2.999999998E+02, 2.201982648E+05, 2.048386020E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316886E+04, 1.032073608E+00, 1.754430590E+02, 0.000000000E+00, 2.847082017E+02, 2.999999998E+02, 2.202069525E+05, 2.048168281E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917637E+04, 1.031776265E+00, 1.756307191E+02, 0.000000000E+00, 2.846754722E+02, 2.999999998E+02, 2.202163471E+05, 2.047932828E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262817E+04, 1.031456529E+00, 1.758323260E+02, 0.000000000E+00, 2.846402713E+02, 2.999999997E+02, 2.202264510E+05, 2.047679595E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351677E+04, 1.031114326E+00, 1.760478859E+02, 0.000000000E+00, 2.846025894E+02, 2.999999996E+02, 2.202372671E+05, 2.047408515E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183438E+04, 1.030749579E+00, 1.762774045E+02, 0.000000000E+00, 2.845624167E+02, 2.999999996E+02, 2.202487981E+05, 2.047119515E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757296E+04, 1.030362207E+00, 1.765208865E+02, 0.000000000E+00, 2.845197427E+02, 2.999999995E+02, 2.202610471E+05, 2.046812522E+05
