nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
      9373, 7.891775814E-01, 7.965751700E-02, 6.690948812E+04, 8.169243524E-01, 1.707038664E+02, 9.698186858E+00, 2.853664708E+02, 2.200183821E+05, 2.052903817E+05
      9374, 4.544350407E-01, 7.969643369E-02, 4.491778128E+04, 6.578373349E-01, 3.533491353E+02, 1.351383470E+01, 2.378792926E+02, 2.336486241E+05, 1.711284814E+05
      9375, 5.080733496E-01, 7.970934607E-02, 3.579264472E+04, 5.592707564E-01, 3.921392641E+02, 3.598576893E+01, 2.229600913E+02, 2.379310004E+05, 1.603957260E+05
      9376, 5.985954008E-02, 7.971584743E-02, 8.468045134E+04, 1.035021830E+00, 1.734853794E+02,-5.499470609E+00, 2.850324984E+02, 2.201138671E+05, 2.050501246E+05
      9377, 1.136571787E-01, 7.972120485E-02, 8.321959015E+04, 1.022226976E+00, 1.812854245E+02,-1.016715204E+01, 2.836213581E+02, 2.205189178E+05, 2.040349615E+05
      9378, 2.986893600E-01, 7.972836192E-02, 7.011974258E+04, 9.044336769E-01, 2.446973883E+02,-1.755021792E+01, 2.700995180E+02, 2.244001982E+05, 1.943074567E+05
      9379, 2.419602845E-01, 7.977460391E-02, 7.572462833E+04, 9.555398272E-01, 2.187014415E+02,-1.729352243E+01, 2.760888401E+02, 2.226810358E+05, 1.986161276E+05
      9380, 3.675190096E-01, 7.977607696E-02, 6.075393571E+04, 8.163360445E-01, 2.860416981E+02,-1.215416194E+01, 2.592774685E+02, 2.275065366E+05, 1.865221598E+05
      9381, 7.921634908E-01, 7.978341861E-02, 6.698313466E+04, 8.175195951E-01, 1.701194136E+02, 9.469256633E+00, 2.854716597E+02, 2.199882053E+05, 2.053660538E+05
      9382, 7.414989092E-01, 7.979141460E-02, 6.528430650E+04, 8.076639577E-01, 1.916606047E+02, 1.544382555E+01, 2.816091558E+02, 2.210966022E+05, 2.025873990E+05
      9383, 6.172888493E-01, 7.979257533E-02, 2.298469816E+04, 4.075014411E-01, 4.517034268E+02, 6.549191558E+01, 1.965021139E+02, 2.455254427E+05, 1.413620663E+05
      9384, 3.285916885E-01, 7.979510818E-02, 6.644219723E+04, 8.702679894E-01, 2.611714362E+02,-1.623996958E+01, 2.659811988E+02, 2.255823119E+05, 1.913447704E+05
      9385, 5.686833249E-02, 7.981318275E-02, 8.473450637E+04, 1.035494052E+00, 1.731924460E+02,-5.231854097E+00, 2.850843790E+02, 2.200989754E+05, 2.050874471E+05
      9386, 4.872697609E-01, 7.982292257E-02, 3.916761276E+04, 5.964780125E-01, 3.776770496E+02, 2.729218636E+01, 2.287645219E+02, 2.362649088E+05, 1.645713874E+05
      9387, 4.574286578E-01, 7.984484650E-02, 4.436126417E+04, 6.520011111E-01, 3.556955402E+02, 1.478085706E+01, 2.370349361E+02, 2.338909864E+05, 1.705210580E+05
